Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Kringel,Sri Lanka,Proterozoic (550-950 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-hydrothermal,Main: Graphite,"Graphite, quartz, feldspar, biotite, pyrite","S, Fe","Veins, pods",Historical producer,"Gneiss, granulite",Highland Complex,Khondalite Series,High-grade metamorphism and remobilization,TGC: 70-99%; vein graphite,High-purity vein graphite; historic producer,Graphite
Bogala,Sri Lanka,Proterozoic (550-950 Ma),Metamorphic-hydrothermal,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-hydrothermal,Main: Graphite,"Graphite, quartz, feldspar, biotite, pyrite","S, Fe","Veins, pods",Currently producing,"Gneiss, granulite",Highland Complex,Khondalite Series,High-grade metamorphism and remobilization,TGC: 70-99%; vein graphite,Operating vein graphite mine; ultra-high purity,Graphite
McIntosh,Australia,Paleoproterozoic (1.8 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",15.9 Mt at 5.3% TGC,"Schist, gneiss",Halls Creek Orogen,Tickalara Metamorphics,Metamorphism of organic-rich sediments,TGC: 4-7%; low impurities,Large flake graphite; high crystallinity,Graphite
Okanjande,Namibia,Neoproterozoic (550 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich marbles,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, calcite, diopside, wollastonite","Ca, Mg, Si","Stratiform, folded",3.5 Mt at 14.6% TGC,"Marble, calc-silicate",Damara Belt,Swakop Group,Metamorphism of organic-rich carbonates,TGC: 10-18%; low impurities,Flake graphite in marble; high crystallinity,Graphite
Matawinie,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",120.3 Mt at 4.26% TGC,Paragneiss,Grenville Province,Morin Series,Metamorphism of organic-rich sediments,TGC: 3-6%; low S,Disseminated flake graphite; high crystallinity,Graphite
Asbury,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",Historical producer,Paragneiss,Grenville Province,Grenville Supergroup,Metamorphism of organic-rich sediments,TGC: 3-10%; low impurities,Historic graphite mine; medium flake size,Graphite
Skaland,Norway,Proterozoic (1.8-1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",1.8 Mt at 26% TGC,Graphitic gneiss,Caledonides,Senja gneiss,Metamorphism of organic-rich sediments,TGC: 20-32%; high purity,Operating mine; high-grade flake graphite,Graphite
Albany,Australia,Archean (2.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",14.6 Mt at 7.5% TGC,"Schist, gneiss",Yilgarn Craton,Albany-Fraser Orogen,Metamorphism of organic-rich sediments,TGC: 5-10%; large flake size,High-quality flake graphite; high crystallinity,Graphite
Ancuabe,Mozambique,Neoproterozoic (1.1 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",3.2 Mt at 9.3% TGC,Graphitic gneiss,Pan-African orogen,Montepuez Complex,Metamorphism of organic-rich sediments,TGC: 6-12%; large flake size,"High-quality, large flake graphite",Graphite
Epanko,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",30.9 Mt at 9.2% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 6-12%; large flake size,High proportion of large and jumbo flake,Graphite
Graphite Creek,USA,Proterozoic (750-900 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",10.3 Mt at 7.2% TGC,Graphitic schist,Seward Peninsula,Nome Complex,Metamorphism of organic-rich sediments,TGC: 5-10%; large flake size,Largest graphite resource in USA; high crystallinity,Graphite
Miller,Canada,Grenvillian (1.05 Ga),Metamorphic-hydrothermal,ASTER/Landsat mapped marble and paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-hydrothermal,Main: Graphite,"Graphite, calcite, wollastonite, pyroxene","Ca, S, Fe","Veins, pods, disseminated",Historical producer,"Marble, paragneiss",Grenville Province,Grenville Supergroup,Metamorphism and hydrothermal remobilization,TGC: 10-30%; vein-like occurrence,Historic mine; hydrothermal vein-type graphite,Graphite
Aukam,Namibia,Neoproterozoic (800-900 Ma),Metamorphic-hydrothermal,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-hydrothermal,Main: Graphite,"Graphite, quartz, feldspar, biotite, pyrite","S, Fe","Veins, pods",Historical producer,"Schist, gneiss",Namaqua-Natal Belt,Namaqualand Complex,High-grade metamorphism and remobilization,TGC: 40-99%; vein graphite,Historic vein graphite producer; high purity,Graphite
Bissett Creek,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",28.3 Mt at 2.24% TGC,Paragneiss,Grenville Province,Central Metasedimentary Belt,Metamorphism of organic-rich sediments,TGC: 1.5-3%; large flake size,High proportion of large flake; low impurities,Graphite
Malingunde,Malawi,Proterozoic (1.0-1.2 Ga),Metamorphic-weathered,ASTER/Landsat mapped saprolite,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-weathered,Main: Graphite,"Graphite, kaolinite, quartz","S, Fe","Stratiform, weathered",28.8 Mt at 7.1% TGC,Saprolite over graphitic gneiss,Mozambique Belt,Basement complex,Weathering of graphitic gneiss,TGC: 5-10%; easily liberated,Saprolite-hosted graphite; low-cost extraction,Graphite
Bunyu,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",461 Mt at 4.9% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 3-7%; diverse flake size,Large graphite resource; diverse flake size distribution,Graphite
Tirupati,India,Archean (2.5-3.0 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich khondalites,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, sillimanite","S, Fe","Stratiform, folded",Operating mine,Khondalite,Eastern Ghats Belt,Khondalite Series,High-grade metamorphism of organic-rich sediments,TGC: 3-10%; medium flake size,Operating graphite mine; medium flake quality,Graphite
Koppio,Australia,Paleoproterozoic (1.8 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",1.9 Mt at 11.9% TGC,"Schist, gneiss",Gawler Craton,Hutchison Group,Metamorphism of organic-rich sediments,TGC: 8-15%; low S,High-quality flake graphite; near historic Uley mine,Graphite
Kearney,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",Historical producer,Paragneiss,Grenville Province,Grenville Supergroup,Metamorphism of organic-rich sediments,TGC: 3-10%; medium flake size,Historic graphite mine; medium flake quality,Graphite
Loharano,Madagascar,Neoproterozoic (550-700 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",14.0 Mt at 5.7% TGC,Graphitic gneiss,Pan-African orogen,Ampanihy Mobile Belt,Metamorphism of organic-rich sediments,TGC: 4-8%; large flake size,High proportion of large flake graphite,Graphite
Montepuez,Mozambique,Neoproterozoic (1.1 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, muscovite, quartz, pyrrhotite","V, S, Ti","Stratiform, folded",103.7 Mt at 5.2% TGC,"Graphitic schist, gneiss",Pan-African orogen,Montepuez Complex,Metamorphism of organic-rich sediments,TGC: 4-9%; large flake size,Large flake graphite deposit; high crystallinity,Graphite
Kahatagaha-Kolongaha,Sri Lanka,Proterozoic (550-950 Ma),Metamorphic-hydrothermal,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic-hydrothermal,Main: Graphite,"Graphite, quartz, feldspar, biotite, pyrite","S, Fe","Veins, pods",Operating mine,"Gneiss, granulite",Highland Complex,Khondalite Series,High-grade metamorphism and remobilization,TGC: 70-99%; vein graphite,Operating vein graphite mine; ultra-high purity,Graphite
Nisk,Canada,Grenvillian (1.05 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich paragneiss,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,"Main: Graphite; By-product: Ni, Cu, PGE","Graphite, pentlandite, chalcopyrite, pyrrhotite","S, Ni, Cu, Co","Stratiform, folded",5.7 Mt at 4.74% TGC,"Paragneiss, ultramafic intrusion",Grenville Province,Central Metasedimentary Belt,Metamorphism of organic-rich sediments,TGC: 3-7%; Ni: 0.2-0.4%,Graphite with associated Ni-Cu-PGE mineralization,Graphite
Woxna,Sweden,Paleoproterozoic (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",7.7 Mt at 9.3% TGC,Graphitic schist,Svecokarelian Orogen,Bergslagen district,Metamorphism of organic-rich sediments,TGC: 7-11%; medium flake size,Operating graphite mine; medium flake quality,Graphite
Rautalampi,Finland,Paleoproterozoic (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",1.8 Mt at 9.8% TGC,Graphitic schist,Svecokarelian Orogen,Rautalampi Belt,Metamorphism of organic-rich sediments,TGC: 7-12%; medium flake size,Medium to large flake graphite; high crystallinity,Graphite
Luobusa,China,Paleozoic (500 Ma),Metamorphic,ASTER/Landsat mapped schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",Large resource,Graphitic schist,Himalayan orogen,Yarlung-Zangbo ophiolite,Metamorphism of organic-rich sediments,TGC: 4-10%; medium flake size,Operating graphite mine; medium flake quality,Graphite
Heilongjiang,China,Proterozoic (1.8 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",Large resource,Graphitic gneiss,North China Craton,Heilongjiang Complex,Metamorphism of organic-rich sediments,TGC: 5-15%; medium flake size,Large operating graphite mine; medium flake quality,Graphite
Neocoal,Australia,Cretaceous (65-145 Ma),Hydrothermal,ASTER/Landsat mapped fault zones,EM surveys detected conductive zones; magnetic data mapped structures,Hydrothermal,Main: Graphite,"Graphite, quartz, calcite","C, O","Veins, structurally controlled",2.5 Mt at 15.1% TGC,Metasediments,New England Orogen,Yarrol Province,CO2-rich fluid movement along structures,TGC: 12-20%; crystalline graphite,Unusual thermally derived hydrothermal graphite,Graphite
Duwi,Egypt,Neoproterozoic (750 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",1.6 Mt at 9.3% TGC,Graphitic schist,Arabian-Nubian Shield,Hammamat Group,Metamorphism of organic-rich sediments,TGC: 7-12%; medium flake size,Flake graphite; historic mining district,Graphite
Aitolampi,Finland,Paleoproterozoic (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",19.3 Mt at 5.2% TGC,Graphitic schist,Svecokarelian Orogen,Karelian Schist Belt,Metamorphism of organic-rich sediments,TGC: 4-7%; large flake proportion,High-quality flake graphite; high crystallinity,Graphite
Lindi,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",42.0 Mt at 9.9% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 7-14%; large flake size,High-grade deposit; high proportion of large flake,Graphite
Graphex Chilalo,Tanzania,Neoproterozoic (650-850 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",18.0 Mt at 10.2% TGC,Graphitic gneiss,East African Orogen,Usagaran System,Metamorphism of organic-rich sediments,TGC: 8-15%; coarse flake size,High proportion of large and jumbo flake,Graphite
Orom,Uganda,Neoproterozoic (600-900 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich gneisses,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",8.0 Mt at 5.7% TGC,Graphitic gneiss,East African Orogen,Mozambique Belt,Metamorphism of organic-rich sediments,TGC: 4-8%; large flake size,Emerging deposit; large flake distribution,Graphite
Coosa,USA,Paleozoic (330-360 Ma),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, muscovite, feldspar","S, Fe","Stratiform, folded",78.5 Mt at 2.39% TGC,Graphitic schist,Southern Appalachians,Higgins Ferry Group,Metamorphism of organic-rich sediments,TGC: 1.5-4%; medium to large flake,Historic graphite district; medium to large flake,Graphite
Niska,Finland,Paleoproterozoic (1.9 Ga),Metamorphic,ASTER/Landsat mapped graphite-rich schists,EM surveys detected conductive zones; magnetic data mapped structures,Metamorphic,Main: Graphite,"Graphite, quartz, feldspar, biotite","S, Fe","Stratiform, folded",4.7 Mt at 11.75% TGC,Graphitic schist,Karelian Craton,Karelian Schist Belt,Metamorphism of organic-rich sediments,TGC: 10-15%; large flake size,High-grade flake graphite; high crystallinity,Graphite
