Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Mactung,Canada,Cretaceous (97 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected magnetite-rich skarn,Skarn,Main: W,"Scheelite, pyrrhotite","Cu, Bi, F",Stratiform skarn horizons,44.8 Mt at 0.85% WO₃,"Limestone, granite",Cordilleran orogen,Cambrian carbonates,Contact metamorphism; metasomatism,WO₃: 0.7-1.0%; Cu: 0.05-0.1%; Bi: 0.01-0.02%,One of world's largest undeveloped W deposits,Tungsten
Pine Creek,USA,Jurassic (165 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys mapped skarn bodies,Skarn,Main: W; Co-product: Mo,"Scheelite, molybdenite, powellite","Mo, Cu, Bi",Irregular skarn bodies at contact,Historic producer,"Limestone, quartz monzonite",Sierra Nevada,Paleozoic carbonates,Contact metamorphism; metasomatism,WO₃: 0.4-0.8%; Mo: 0.05-0.1%; Cu: 0.1-0.2%,Historic W producer; complex skarn mineralogy,Tungsten
Mount Carbine,Australia,Permian-Triassic (240-250 Ma),Breccia pipe,ASTER/Landsat mapped granite intrusion,IP surveys mapped mineralized breccia,Breccia pipe/stockwork,Main: W,"Wolframite, scheelite","Mo, Bi, F",Stockwork/breccia pipe,13.5 Mt at 0.13% WO₃,"Granite, metasediments",North Queensland,Hodgkinson Formation,Explosive brecciation; hydrothermal,WO₃: 0.1-0.2%; Mo: 0.01-0.02%; Bi: 0.01-0.02%,"Low-grade, high-tonnage breccia/stockwork deposit",Tungsten
Mt Lindsay,Australia,Devonian (375 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn,"Main: Sn, W","Scheelite, cassiterite","Sn, F, Mo",Stratiform skarn horizons,46 Mt at 0.1% WO₃,"Limestone, granite",Western Tasmania,Cambrian-Ordovician carbonates,Contact metamorphism; metasomatism,WO₃: 0.08-0.12%; Sn: 0.2-0.3%; Mo: 0.01-0.02%,Tin-tungsten skarn; advanced exploration,Tungsten
Yangjingou,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,Main: W; Co-product: Mo,"Wolframite, scheelite, molybdenite","Mo, Bi, Sn, F",Multiple veins,"42,000 t WO₃ at 1.0% WO₃","Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.8-1.2%; Mo: 0.05-0.15%; Bi: 0.02-0.05%,Tungsten-molybdenum vein system in Nanling belt,Tungsten
Barruecopardo,Spain,Carboniferous (300-310 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,IP surveys mapped vein systems,Vein/greisen,Main: W,"Wolframite, scheelite","Sn, As, Bi",Multiple veins,4.6 Mt at 0.32% WO₃,"Granite, schist",Iberian Massif,Hercynian granites,Structurally controlled vein systems,WO₃: 0.25-0.4%; Sn: 0.01-0.02%; As: 0.05-0.1%,Wolframite-dominant vein system; recent restart,Tungsten
Vostok-2,Russia,Cretaceous (90-100 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected magnetite-rich skarn,Skarn,Main: W; Co-product: Cu,"Scheelite, chalcopyrite","Cu, Bi, Au",Irregular skarn bodies at contact,8 Mt at 0.65% WO₃,"Limestone, granite",Sikhote-Alin,Cambrian carbonates,Contact metamorphism; metasomatism,WO₃: 0.6-0.7%; Cu: 0.2-0.3%; Au: 0.1-0.3 g/t,Operating tungsten skarn in Far East Russia,Tungsten
Verkhne-Kayrakty,Kazakhstan,Carboniferous (310-320 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped greisen zones,Greisen/stockwork,"Main: W, Mo","Wolframite, molybdenite","Mo, Bi, Be",Stockwork system in cupola,"45,000 t WO₃ at 0.16% WO₃","Granite, greisen",Central Asia,Hercynian granites,Magmatic-hydrothermal; greisen alteration,WO₃: 0.15-0.2%; Mo: 0.05-0.1%; Be: 0.01-0.02%,Greisen-style tungsten-molybdenum deposit,Tungsten
Tyrnyauz,Russia,Paleogene (60 Ma),Skarn/porphyry,ASTER/Landsat mapped contact zone and intrusion,Magnetic surveys detected skarn bodies,Skarn/porphyry,"Main: W, Mo","Scheelite, molybdenite","Mo, Bi, Au","Complex, multi-zone",240 Mt at 0.15% WO₃,"Limestone, granite porphyry",Caucasus,Paleozoic carbonates,Contact metasomatism; hydrothermal veins,WO₃: 0.1-0.2%; Mo: 0.05-0.1%; Au: 0.1-0.3 g/t,Large combined skarn-porphyry system; historic producer,Tungsten
Watershed,Australia,Carboniferous (280-290 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,IP surveys mapped structures and alteration,Skarn/vein,Main: W,"Scheelite, wolframite","F, Ca, Bi","Multiple veins, skarn zones",70 Mt at 0.14% WO₃,"Schist, skarn, granite",North Queensland,Hodgkinson Formation,Structure and lithological contacts,WO₃: 0.1-0.2%; F: 0.1-0.2%; Bi: 0.01-0.02%,Advanced exploration project; mixed skarn-vein style,Tungsten
Nuestra Señora del Losar,Spain,Carboniferous (300-310 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,IP surveys mapped vein systems,Vein/greisen,Main: W,"Wolframite, scheelite","Sn, As, Bi",Multiple veins,Historic producer,"Granite, schist",Central Iberian Zone,Hercynian granites,Structurally controlled vein systems,WO₃: 0.6-1.0%; Sn: 0.01-0.02%; As: 0.1-0.2%,Historic high-grade tungsten veins,Tungsten
Pingwu,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,Main: W,"Wolframite, scheelite","Sn, Bi, Mo",Multiple veins,Large resource,"Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.5-0.7%; Sn: 0.02-0.05%; Mo: 0.01-0.03%,Major tungsten vein system in Sichuan,Tungsten
Xintianling,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,"Main: W, Sn","Wolframite, cassiterite","Sn, Bi, Mo, Be",Multiple veins,Large resource,"Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.3-0.5%; Sn: 0.1-0.2%; Be: 0.01-0.02%,Tungsten-tin vein system in Hunan,Tungsten
Dayu,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,"Main: W, Sn","Wolframite, cassiterite","Sn, Bi, Mo",Multiple veins,"80,000 t WO₃ at 0.6% WO₃","Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.5-0.7%; Sn: 0.1-0.2%; Mo: 0.02-0.04%,Major tungsten producer in Jiangxi,Tungsten
Tabuaço,Portugal,Carboniferous (300-310 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn,Main: W,"Scheelite, garnet, pyroxene","F, Cu, Zn",Stratiform skarn horizons,3.5 Mt at 0.55% WO₃,"Limestone, granite",Iberian Massif,Cambrian-Ordovician carbonates,Contact metamorphism; metasomatism,WO₃: 0.5-0.6%; F: 0.1-0.2%; Cu: 0.01-0.03%,Advanced exploration project; high-grade scheelite skarn,Tungsten
Molyhil,Australia,Paleoproterozoic (1.7 Ga),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys mapped skarn bodies,Skarn,"Main: W, Mo","Scheelite, molybdenite","Mo, Cu, Bi",Skarn bodies along contact,4.7 Mt at 0.28% WO₃,"Calc-silicate, granite",Arunta Region,Paleoproterozoic metamorphics,Contact metamorphism; metasomatism,WO₃: 0.25-0.35%; Mo: 0.1-0.15%; Cu: 0.05-0.1%,Tungsten-molybdenum skarn in Northern Territory,Tungsten
Uludağ,Turkey,Tertiary (20-30 Ma),Skarn/greisen,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn/greisen,Main: W; Co-product: Sn,"Scheelite, cassiterite","Sn, F, Zn",Irregular skarn bodies at contact,2.6 Mt at 0.4% WO₃,"Limestone, granite",Western Anatolia,Paleozoic carbonates,Contact metamorphism; metasomatism,WO₃: 0.3-0.5%; Sn: 0.05-0.1%; Zn: 0.1-0.3%,Operating tungsten mine; complex mineralogy,Tungsten
Jiangxi Xishan,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,Main: W,"Wolframite, scheelite","Sn, Bi, Be",Multiple veins,Resource at 0.6% WO₃,"Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.5-0.7%; Sn: 0.02-0.05%; Be: 0.005-0.01%,High-grade tungsten veins in Jiangxi,Tungsten
O'Callaghans,Australia,Devonian (380-400 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn/replacement,"Main: W, Cu, Zn, Pb","Scheelite, chalcopyrite, sphalerite, galena","Cu, Zn, Pb, Ag",Stratiform replacement,78 Mt at 0.16% WO₃,"Limestone, dolomite",Paterson Province,Paleozoic carbonates,Contact metasomatism; replacement,WO₃: 0.15-0.2%; Cu: 0.3-0.5%; Zn: 1.5-2.0%; Pb: 0.5-0.8%,Polymetallic tungsten deposit in remote area,Tungsten
Nui Phao,Vietnam,Triassic (240-250 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn-porphyry system,Skarn/porphyry,"Main: W, F; Co-product: Bi, Cu, Sn","Scheelite, fluorite, bismuthinite, chalcopyrite","F, Bi, Cu, Sn, Au","Complex, multi-zone",66 Mt at 0.21% WO₃,"Limestone, granite",South China Craton,Triassic carbonates,Contact metasomatism; hydrothermal,WO₃: 0.18-0.25%; F: 7-10%; Bi: 0.1-0.2%; Cu: 0.2-0.3%,Operating polymetallic tungsten mine,Tungsten
Tortkuduk,Kazakhstan,Carboniferous (310-320 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped greisen zones,Greisen/stockwork,Main: W,"Wolframite, scheelite","Sn, Mo, Bi",Stockwork system in cupola,Resource at 0.15% WO₃,"Granite, greisen",Central Asia,Hercynian granites,Magmatic-hydrothermal; greisen alteration,WO₃: 0.15-0.2%; Mo: 0.02-0.05%; Sn: 0.02-0.05%,Greisen-style tungsten deposit,Tungsten
Kara,Australia,Devonian (370-380 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected magnetite-rich skarn,Skarn,"Main: W, Sn","Scheelite, cassiterite, magnetite","Sn, F, Mo",Irregular skarn bodies at contact,9.5 Mt at 0.9% WO₃,"Limestone, granite",Western Tasmania,Paleozoic carbonates,Contact metamorphism; metasomatism,WO₃: 0.7-1.1%; Sn: 0.2-0.3%; Mo: 0.02-0.05%,Historic high-grade tungsten-tin skarn,Tungsten
Sisson,Canada,Devonian (380-390 Ma),Porphyry-related,ASTER/Landsat mapped intrusive complex,Magnetic and IP surveys outlined intrusive bodies,Porphyry/sheeted vein,"Main: W, Mo","Scheelite, molybdenite","Mo, Cu, Bi","Stockwork, sheeted veins",334 Mt at 0.067% WO₃,"Granite, metasediments",New Brunswick,Devonian intrusives,Magmatic-hydrothermal; fracture filling,WO₃: 0.06-0.08%; Mo: 0.02-0.04%; Cu: 0.07-0.1%,"Low-grade, high-tonnage vein system",Tungsten
Balkhash,Kazakhstan,Carboniferous (310-320 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,"Main: W, Mo","Wolframite, molybdenite","Mo, Bi, Sn",Multiple veins,Resource at 0.3% WO₃,"Granite, slate",Central Asia,Hercynian granites,Structurally controlled vein systems,WO₃: 0.25-0.35%; Mo: 0.05-0.1%; Bi: 0.01-0.03%,Tungsten-molybdenum vein system,Tungsten
Zinnwald/Cínovec,Germany/Czech Republic,Late Variscan (312-315 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite dome,Gravity surveys detected granite cupola,Greisen,"Main: Li, Sn; Co-product: W","Wolframite, cassiterite, zinnwaldite","Li, Sn, Rb, Cs, Nb, Ta",Flat-lying greisen sheets,6.1 Mt at 0.127% WO₃,"Granite, greisen",Erzgebirge,Late Variscan granite,Apical portion of granite cupola,WO₃: 0.1-0.15%; Sn: 0.2-0.3%; Li₂O: 0.3-0.5%,Greisen-style Li-Sn-W deposit,Tungsten
Salau,France,Hercynian (300-310 Ma),Skarn,ASTER/Landsat mapped contact zone,Magnetic surveys detected skarn bodies,Skarn,"Main: W; Co-product: Cu, Au","Scheelite, chalcopyrite","Cu, Au, As, Bi",Irregular skarn bodies at contact,1.5 Mt at 1.5% WO₃,"Limestone, granite",Pyrenees,Paleozoic carbonates,Contact metamorphism; metasomatism,WO₃: 1.2-1.8%; Cu: 0.2-0.4%; Au: 1-3 g/t,Historic high-grade tungsten skarn,Tungsten
Fosso,Brazil,Neoproterozoic (550-600 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped greisen zones,Greisen/stockwork,"Main: W, Sn","Wolframite, cassiterite","Sn, F, Mo, Ta, Nb","Greisen bodies, stockwork",Resource at 0.15% WO₃,"Granite, greisen",Borborema Province,Neoproterozoic granites,Magmatic-hydrothermal; greisen alteration,WO₃: 0.1-0.2%; Sn: 0.05-0.1%; Ta₂O₅: 0.01-0.02%,Greisen-style tungsten-tin deposit,Tungsten
Höllental,Austria,Variscan (330-340 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped vein systems,Magnetic surveys mapped structures,Vein,Main: W,Scheelite,"F, Au, Sb",Multiple veins,Historic producer,"Schist, gneiss",Eastern Alps,Variscan basement,Structurally controlled vein systems,WO₃: 0.5-1.0%; Au: 0.5-1.0 g/t; Sb: 0.1-0.2%,Historic high-grade tungsten veins,Tungsten
Bugaramma,Rwanda,Mesoproterozoic (986 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped pegmatite field,"Radiometric surveys showed Sn, W anomalies",Vein/greisen,"Main: W, Sn","Wolframite, cassiterite","Sn, Ta, Nb",Multiple veins,Artisanal resource,Metasediments,Kibaran Belt,Mesoproterozoic granites,Structurally controlled vein systems,WO₃: 0.5-1.0%; Sn: 0.3-0.5%; Ta₂O₅: 0.01-0.03%,Artisanal W-Sn mining district,Tungsten
Mawchi,Myanmar,Cretaceous (90-100 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,"Main: W, Sn","Wolframite, cassiterite","Sn, Nb, Ta, F",Multiple veins,Historic producer,"Granite, sediments",Southeast Asian Tin Belt,Cretaceous granites,Structurally controlled vein systems,WO₃: 0.5-0.8%; Sn: 0.3-0.5%; Nb₂O₅: 0.01-0.02%,Tungsten-tin vein system; historic producer,Tungsten
Rizhao,China,Jurassic (160-170 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite intrusion,Magnetic surveys mapped vein systems,Vein/greisen,Main: W,"Wolframite, scheelite","Mo, Bi, Be",Multiple veins,Resource at 0.5% WO₃,"Granite, slate",South China Craton,Yanshanian granites,Structurally controlled vein systems,WO₃: 0.4-0.6%; Mo: 0.02-0.04%; Bi: 0.01-0.02%,High-grade tungsten veins in Shandong,Tungsten
