Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Catahoula,USA,Eocene-Miocene (5-40 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, rutile, leucoxene","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",0.5 Mt zircon,Shoreline sand deposits,Gulf Coastal Plain,Tertiary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 50-60% in ilmenite,U.S. Gulf Coast heavy mineral province,Zirconium
Stradbroke Island,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, rutile, ilmenite","Ti, Th, REE, Hf","Sheet-like, dune deposits",Historic producer; ~0.9 Mt zircon,Dune sand,East Australian margin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 85-96% in rutile,Historic high-grade rutile-zircon operation,Zirconium
Ghurayyah,Saudi Arabia,Proterozoic (632 Ma),Alkaline granite,ASTER/Landsat mapped intrusion,Radiometric and magnetic surveys outlined complex,Alkaline granite,"Main: Ta, Nb; By-product: Zr, REE, Y","Zircon, columbite-tantalite, xenotime","Nb, Ta, REE, Y, Th, U",Small intrusion,385 Mt at 3.0% ZrO₂,Peralkaline granite,Arabian Shield,Pan-African,Magmatic differentiation,ZrO₂: 2.5-3.5%; Nb₂O₅: 0.25-0.32%; Ta₂O₅: 0.02-0.03%,Zr-rich alkaline granite; polymetallic deposit,Zirconium
Norra Kärr,Sweden,Proterozoic (1.55 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive body,Magnetic and gravity surveys outlined intrusion,Peralkaline intrusion,"Main: REE, Zr; By-product: Nb, Y, Hf","Eudialyte, catapleiite","Y, Nb, Hf, REE",Oval-shaped intrusion,23.6 Mt at 1.74% ZrO₂,Agpaitic nepheline syenite,Anorogenic intrusion,Transscandinavian Igneous Belt,Magmatic differentiation,ZrO₂: 1.7-2.0%; Nb₂O₅: 0.17-0.21%; REE: 0.5-0.6%,Eudialyte-rich agpaitic intrusion; development stage,Zirconium
Lofdal,Namibia,Mesoproterozoic (760 Ma),Carbonatite,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped dikes,Carbonatite dikes,"Main: REE, Y; By-product: Zr","Xenotime, zircon, synchysite","REE, Y, Th, Zr","Multiple dikes, veins",By-product resource,Carbonatite dikes and plugs,Continental rift margin,Lofdal Alkaline Complex,Hydrothermal alteration along dikes,ZrO₂: 0.3-0.5%; REE: 0.2-1.5%; Y₂O₃: 0.1-0.3%,HREE-enriched carbonatite dikes; minor Zr,Zirconium
Pitinga,Brazil,Proterozoic (1.8 Ga),Rare-metal granite,ASTER/Landsat mapped granite dome,Radiometric and magnetic surveys outlined complex,Granite,"Main: Sn; By-product: Nb, Ta, Zr, F","Zircon, cassiterite, columbite-tantalite","Sn, Nb, Ta, F, REE","Disseminated, greisen",By-product resource,Topaz-cryolite granite,Amazon Craton,Madeira Suite,Magmatic differentiation; hydrothermal,ZrO₂: 0.3-0.5%; Nb₂O₅: 0.2-0.3%; Ta₂O₅: 0.02-0.03%,Specialized F-rich granite; cryolite-rich,Zirconium
Strange Lake,Canada,Mesoproterozoic (1.24 Ga),Peralkaline granite,ASTER/Landsat mapped intrusive complex,"Radiometric detected high Th, U; magnetic data outlined intrusion",Peralkaline granite,"Main: REE, Zr; By-product: Nb, Y","Zircon, elpidite, gittinsite","Y, Nb, Be, Th, U","Irregular, lens-shaped",140 Mt at 3.25% ZrO₂,Peralkaline granite,Anorogenic intrusion,Nain Plutonic Suite,Hydrothermal alteration of granite,ZrO₂: 3.0-3.5%; REE: 0.9-1.0%; Y₂O₃: 0.4-0.6%,HREE-enriched peralkaline granite; multiple enrichment stages,Zirconium
Coburn,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, leucoxene","Ti, Th, REE, Hf","Sheet-like, strand-line deposits",0.5 Mt zircon,Shoreline sand deposits,Perth Basin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 55-65% in ilmenite,Development-stage mineral sands project,Zirconium
Ranobe,Madagascar,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, ilmenite, rutile","Ti, Th, REE, Hf","Sheet-like, dune deposits",0.6 Mt zircon,Dune sand,SW Madagascar margin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 45-55% in ilmenite,Development-stage mineral sands project,Zirconium
Iluka's Sri Lanka,Sri Lanka,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Zircon, rutile, ilmenite","Ti, Th, REE, Hf","Sheet-like, beach deposits",0.2 Mt zircon,Beach sand,Sri Lanka margin,Quaternary sediments,Coastal processes; heavy mineral concentration,ZrO₂: 65-67% in zircon; HfO₂: 1-2% in zircon; TiO₂: 85-96% in rutile,High-grade rutile-zircon deposits; recent exploration,Zirconium
