Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Mamatwan,South Africa,Paleoproterozoic (2.2 Ga),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic surveys detected low signatures; gravity defined basin,Sedimentary,Main: Mn; By-product: Fe,"Braunite, bixbyite, hematite","Fe, Ba, K",Stratiform beds,Part of Kalahari field,"Banded iron formation, lutite",Transvaal Basin,Hotazel Formation,Marine chemical precipitation; basin restriction,Mn: 37-40%; Fe: 4.5%; P: 0.05%,"Lower grade, higher-tonnage portion of Kalahari field",Manganese
Wessels,South Africa,Paleoproterozoic (2.2 Ga),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic surveys detected low signatures; gravity defined basin,Sedimentary,Main: Mn; By-product: Fe,"Braunite, hausmannite, bixbyite","Fe, Ba, K",Stratiform beds,Part of Kalahari field,"Banded iron formation, lutite",Transvaal Basin,Hotazel Formation,Marine chemical precipitation; basin restriction,Mn: 45-48%; Fe: 3-6%; P: <0.05%,High-grade portion of Kalahari field,Manganese
Hotazel,South Africa,Paleoproterozoic (2.2 Ga),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic surveys detected low signatures; gravity defined basin,Sedimentary,Main: Mn; By-product: Fe,"Braunite, hausmannite, bixbyite","Fe, Ba, K",Stratiform beds,Part of Kalahari field,"Banded iron formation, lutite",Transvaal Basin,Hotazel Formation,Marine chemical precipitation; basin restriction,Mn: 38-45%; Fe: 6-10%; P: <0.05%,Type locality for Hotazel Formation manganese ores,Manganese
Woodie Woodie,Australia,Paleoproterozoic (1.8-2.0 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys detected structures; gravity mapped karst features,Hydrothermal,Main: Mn,"Pyrolusite, cryptomelane, coronadite","Fe, Ba, Pb","Irregular, karst-fill",15 Mt at 42% Mn,"Dolomite, sandstone",Pilbara Craton,Carawine Dolomite,Fault-controlled hydrothermal,Mn: 40-45%; Fe: 2-4%; P: <0.1%,Hydrothermal manganese in karst structures,Manganese
Bou Arfa,Morocco,Jurassic (160-170 Ma),Sedimentary,ASTER/Landsat mapped manganese-rich beds,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Stratiform, lenticular",5 Mt at 45% Mn,"Limestone, marl",Atlas Mountains,Jurassic platform,Marine chemical precipitation,Mn: 40-50%; Fe: 2-5%; SiO₂: 5-10%,High-grade stratiform deposit in carbonate platform,Manganese
Chiatura,Georgia,Oligocene (23-34 Ma),Sedimentary,ASTER/Landsat mapped manganese-rich basin,Magnetic surveys showed weak anomalies; gravity defined basin,Sedimentary,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Stratiform, lenticular",200 Mt at 25% Mn,"Sandstone, limestone",Greater Caucasus Basin,Oligocene sediments,Shallow marine basin,Mn: 22-28%; Fe: 2-5%; P: 0.1-0.2%,Extensive stratiform deposit similar to Nikopol,Manganese
Gulf of Mexico nodules,USA,Quaternary (Recent),Hydrogenetic,Multibeam sonar mapped nodule fields,Deep-tow magnetic surveys mapped distributions,Nodular,"Main: Mn; By-product: Fe, Co, Ni","Todorokite, birnessite, vernadite","Fe, Ni, Co, Cu","Nodular, seafloor",Large resource,Modern seafloor,Continental slope,Modern seafloor,Precipitation from seawater,Mn: 15-25%; Fe: 15-20%; Ni: 0.5%; Co: 0.3%,Modern seafloor manganese nodules,Manganese
Mesa del Padro,Mexico,Cretaceous (66-100 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys detected structures,Hydrothermal,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Vein-type, fissure-fill",3 Mt at 40% Mn,"Limestone, volcanic tuff",Sierra Madre Occidental,Upper Cretaceous volcanics,Fault-controlled hydrothermal,Mn: 35-45%; Fe: 3-7%; Ba: 1-3%,Hydrothermal veins related to volcanic activity,Manganese
Azul,Brazil,Precambrian-Tertiary (weathered),Weathering,ASTER/Landsat mapped laterite caps,Radiometric surveys mapped weathering profiles,Supergene,Main: Mn,"Pyrolusite, cryptomelane, lithiophorite","Fe, Al, Co",Blanket-like,60 Mt at 46% Mn,Weathered iron formation,Carajás Province,Precambrian basement,Tropical weathering,Mn: 42-50%; Fe: 4-8%; P: <0.1%,Lateritic enrichment over iron formation,Manganese
Julia Creek,Australia,Cretaceous (100-120 Ma),Sedimentary,ASTER/Landsat mapped organic-rich shales,Radiometric surveys detected anomalies,Sedimentary,"Main: V; By-product: Mn, Mo","Vanadium clays, pyrolusite","V, Mo, Ni, Zn",Stratiform,"6,760 Mt at 0.3% V₂O₅, 250 ppm Mo",Oil shale,Eromanga Basin,Toolebuc Formation,Anoxic marine basin,V₂O₅: 0.3-0.5%; Mn: 0.2-0.5%; Mo: 200-300 ppm,Organic-rich shale with metal enrichment,Manganese
Imini,Morocco,Cretaceous (66-100 Ma),Supergene,ASTER/Landsat mapped plateaus,Magnetic surveys showed weak anomalies,Supergene,Main: Mn,"Pyrolusite, cryptomelane","Fe, Ba","Stratiform, karst-fill",10 Mt at 53% Mn,Dolomitic limestone,Anti-Atlas,Cenomanian-Turonian platform,Supergene enrichment in karst,Mn: 50-56%; Fe: 1-3%; SiO₂: 2-5%,Ultra-high-grade karst-fill manganese,Manganese
Mariupol,Ukraine,Proterozoic (1.8-2.0 Ga),Metamorphic,ASTER/Landsat mapped banded formations,Magnetic surveys detected structures,Metamorphic,Main: Mn,"Pyrolusite, rhodonite, spessartite","Fe, Si, Ca","Stratiform, folded",450 Mt at 25% Mn,"Manganese schist, gneiss",Ukrainian Shield,Proterozoic metasediments,Metamorphosed chemical sediments,Mn: 22-28%; Fe: 3-5%; SiO₂: 18-25%,Metamorphosed manganese formation,Manganese
Wafangzi,China,Proterozoic (1.8 Ga),Sedimentary,ASTER/Landsat mapped manganese beds,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,Main: Mn,"Braunite, rhodochrosite, pyrolusite","Fe, Ca, Si",Stratiform beds,50 Mt at 24% Mn,"Carbonate, siliceous rocks",North China Craton,Proterozoic platform,Marine chemical precipitation,Mn: 22-26%; Fe: 3-6%; SiO₂: 15-20%,Stratiform deposit in platform sequence,Manganese
Marganets,Ukraine,Oligocene (23-34 Ma),Sedimentary,ASTER/Landsat mapped manganese-rich basin,Magnetic surveys showed weak anomalies; gravity defined basin,Sedimentary,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Stratiform, lenticular",Part of Nikopol field,"Claystone, sandstone",Pripyat-Dnieper-Donetsk Basin,Oligocene sediments,Shallow marine basin,Mn: 22-28%; Fe: 1-4%; P: 0.1-0.2%,Large mining center in Nikopol basin,Manganese
Tambao,Burkina Faso,Birimian (2.1 Ga),Sedimentary-weathered,ASTER/Landsat mapped laterite caps,Magnetic surveys detected structures,Metamorphic-weathered,Main: Mn,"Pyrolusite, nsutite, cryptomelane","Fe, Ba","Stratiform, weathered",20 Mt at 52% Mn,"Gondite, schist",Birimian Belt,Birimian Supergroup,Weathering of Mn-rich protores,Mn: 48-54%; Fe: 2-5%; SiO₂: 3-6%,High-grade weathered metamorphic manganese,Manganese
Bukit Ibam,Malaysia,Jurassic-Triassic (145-250 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys detected structures,Skarn,"Main: Mn, Fe","Pyrolusite, hematite, magnetite","Fe, Si","Irregular, skarn body","10 Mt at 30% Mn, 35% Fe","Limestone, volcanic rocks",Malay Peninsula,Mesozoic arc,Contact metasomatism,Mn: 25-35%; Fe: 30-40%; P: <0.1%,Skarn-type Mn-Fe deposit,Manganese
Sausar,India,Proterozoic (1.6 Ga),Metamorphic,ASTER/Landsat mapped manganese formations,Magnetic surveys detected folded structures,Metamorphic,Main: Mn,"Braunite, bixbyite, hollandite, jacobsite","Fe, Ba","Stratiform, folded",60 Mt at 30% Mn,"Gondite, schist",Central Indian Tectonic Zone,Sausar Group,Metamorphosed chemical sediments,Mn: 25-35%; Fe: 5-10%; SiO₂: 15-25%,Metamorphosed manganese formation,Manganese
Kalagadi,South Africa,Paleoproterozoic (2.2 Ga),Sedimentary,ASTER/Landsat mapped manganese formations,Magnetic surveys detected low signatures; gravity defined basin,Sedimentary,Main: Mn; By-product: Fe,"Braunite, bixbyite, hematite","Fe, Ba, K",Stratiform beds,Part of Kalahari field,"Banded iron formation, lutite",Transvaal Basin,Hotazel Formation,Marine chemical precipitation; basin restriction,Mn: 36-38%; Fe: 5-7%; P: <0.05%,Part of vast Kalahari manganese field,Manganese
Keonjhar,India,Proterozoic (2.1-2.5 Ga),Sedimentary-weathered,ASTER/Landsat mapped laterite caps,Magnetic surveys detected structures,Supergene,Main: Mn,"Pyrolusite, cryptomelane, psilomelane","Fe, Ba","Irregular, weathering profile",35 Mt at 35% Mn,Weathered iron formations,Singhbhum Craton,Iron Ore Group,Weathering of Mn-rich protores,Mn: 30-40%; Fe: 8-15%; SiO₂: 5-15%,Supergene enrichment over iron formations,Manganese
Nishikhal,India,Precambrian (1.0-1.5 Ga),Metamorphic,ASTER/Landsat mapped manganese formations,Magnetic surveys detected folded structures,Metamorphic,Main: Mn,"Braunite, bixbyite, vredenburgite","Fe, Si","Stratiform, folded",15 Mt at 28% Mn,"Manganese schist, quartzite",Eastern Ghats Belt,Khondalite Series,Metamorphosed chemical sediments,Mn: 25-30%; Fe: 6-12%; SiO₂: 15-25%,Metamorphosed manganese formation,Manganese
Otjosondu,Namibia,Paleoproterozoic (2.0 Ga),Sedimentary-metamorphic,ASTER/Landsat mapped manganese formations,Magnetic surveys detected folded structures,Metamorphic,Main: Mn,"Braunite, bixbyite, hausmannite","Fe, Si","Stratiform, folded",6 Mt at 40% Mn,"Quartzite, schist",Damara Belt,Otavi Group,Metamorphosed chemical sediments,Mn: 38-42%; Fe: 3-6%; SiO₂: 10-15%,Metamorphosed manganese formation,Manganese
Pense,Brazil,Precambrian (600-900 Ma),Sedimentary-weathered,ASTER/Landsat mapped weathering profiles,Radiometric surveys mapped weathering profiles,Supergene,Main: Mn,"Pyrolusite, cryptomelane, lithiophorite","Fe, Al, Ba",Blanket-like,5 Mt at 42% Mn,Weathered schist,Mato Grosso Province,Cuiabá Group,Tropical weathering,Mn: 40-45%; Fe: 5-10%; Al₂O₃: 5-10%,Lateritic enrichment over schists,Manganese
Portrush,Northern Ireland,Cretaceous (66-100 Ma),Sedimentary,ASTER/Landsat mapped manganese horizons,Magnetic surveys mapped stratigraphy,Sedimentary,Main: Mn,"Pyrolusite, psilomelane, manganite","Fe, Ba","Stratiform, thin beds",Small resource,"Chalk, glauconitic sandstone",Irish Sea Basin,Ulster White Limestone,Marine chemical precipitation,Mn: 20-30%; Fe: 5-10%; P: 0.2-0.4%,Thin but high-grade stratiform beds,Manganese
Las Cabesses,France,Devonian (359-416 Ma),Sedimentary-exhalative,ASTER/Landsat mapped manganese horizons,Magnetic and radiometric surveys mapped stratigraphy,Sedex,Main: Mn,"Rhodochrosite, pyrolusite, alabandite","Fe, Ba, Pb, Zn","Stratiform, lens-shaped",0.5 Mt at 35% Mn,"Limestone, shale",Pyrenean Basin,Devonian carbonates,Submarine hydrothermal exhalation,Mn: 30-40%; Fe: 3-8%; Ba: 1-3%,Sedimentary-exhalative manganese deposit,Manganese
Wushan,China,Carboniferous (299-359 Ma),Sedimentary,ASTER/Landsat mapped manganese beds,Magnetic and radiometric surveys mapped stratigraphy,Sedimentary,Main: Mn,"Rhodochrosite, pyrolusite, psilomelane","Fe, Ca, Si",Stratiform beds,30 Mt at 20% Mn,"Limestone, chert",South China Craton,Wushan Formation,Marine chemical precipitation,Mn: 18-25%; Fe: 2-5%; SiO₂: 10-15%,Stratiform deposit in carbonate platform,Manganese
Mozhievka,Russia,Paleoproterozoic (1.9-2.0 Ga),Metamorphic,ASTER/Landsat mapped banded formations,Magnetic surveys detected folded structures,Metamorphic,Main: Mn,"Rhodonite, pyrolusite, manganite","Fe, Si, Ca","Stratiform, folded",5 Mt at 18% Mn,"Manganese schist, quartzite",Baltic Shield,Karelian Supergroup,Metamorphosed chemical sediments,Mn: 15-20%; Fe: 5-10%; SiO₂: 40-50%,Low-grade metamorphosed manganese formation,Manganese
