Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Rammelsberg,Germany,Devonian (380-390 Ma),Sedimentary-exhalative,ASTER/Landsat mapped sedimentary sequence,EM surveys mapped conductive zones; gravity detected dense bodies,SEDEX,"By-product: Ge; Main: Zn, Pb, Cu",Trace germanium in sphalerite,"Zn, Pb, Cu, Ag, Ge, Cd","Stratiform, massive",Historic producer,"Shale, limestone",Rhenish Massif,Devonian sediments,Synsedimentary exhalative,Ge: 50-150 ppm in sphalerite; Zn: 14-22%; Pb: 6-10%; Cu: 1-2%,Classic SEDEX deposit; now exhausted,Germanium
Saxony Coal,Germany,Paleogene (23-66 Ma),Sedimentary,ASTER/Landsat mapped lignite deposits,Seismic and resistivity surveys defined basin,Coal/lignite,By-product: Ge; Main: Coal,Organically bound germanium,"C, S, As, U","Stratiform, basin-wide",By-product resource,Lignite,Northwest European Basin,Tertiary lignite,Low-temperature accumulation in coal,Ge: 100-400 ppm in coal ash,Ge extracted from coal fly ash,Germanium
Lugou,China,Carboniferous-Permian (270-350 Ma),Carbonate replacement,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,Carbonate replacement,"By-product: Ge; Main: Zn, Pb",Trace germanium in sphalerite,"Zn, Pb, Ag, Ge, Cd",Stratiform to pipe-like,By-product resource,"Dolomite, limestone",South China,Devonian-Permian carbonates,Structurally controlled replacement,Ge: 80-250 ppm in sphalerite; Zn: 10-15%; Pb: 4-8%,Ge-rich carbonate replacement deposit,Germanium
Middle Tennessee,USA,Ordovician (440-500 Ma),Mississippi Valley-type,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,MVT,By-product: Ge; Main: Zn,Trace germanium in sphalerite,"Zn, Pb, Ge, Cd",Stratabound,By-product resource,"Limestone, dolomite",Nashville Dome,Knox and Stones River Groups,Epigenetic replacement; karst,Ge: 20-80 ppm in sphalerite; Zn: 3-6%; Pb: 0.5-1.0%,Classic MVT deposit; Ge in honey-colored sphalerite,Germanium
Pine Point,Canada,Devonian (360-400 Ma),Mississippi Valley-type,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,MVT,"By-product: Ge; Main: Zn, Pb",Trace germanium in sphalerite,"Zn, Pb, Ge, Cd",Stratabound; prismatic bodies,Historic producer,Dolomite,Western Canada Sedimentary Basin,Presqu'ile barrier,Epigenetic replacement; karst,Ge: 30-100 ppm in sphalerite; Zn: 7-12%; Pb: 2-5%,Classic MVT deposit; now exhausted,Germanium
Sullivan,Canada,Mesoproterozoic (1.47 Ga),Sedimentary-exhalative,ASTER/Landsat mapped sedimentary sequence,EM surveys mapped conductive zones; gravity detected dense bodies,SEDEX,"By-product: Ge; Main: Pb, Zn, Ag",Trace germanium in sphalerite,"Zn, Pb, Ag, Ge, Cd, In","Stratiform, massive",Historic producer,"Argillite, quartzite",Belt-Purcell Basin,Aldridge Formation,Synsedimentary exhalative,Ge: 40-120 ppm in sphalerite; Zn: 5-7%; Pb: 6-8%; Ag: 50-70 g/t,Classic SEDEX deposit; now exhausted,Germanium
San Cristobal,Bolivia,Miocene (10-15 Ma),Epithermal,ASTER/Landsat mapped volcanic complex,IP surveys mapped sulfide bodies; magnetic data detected structures,Epithermal,"By-product: Ge; Main: Zn, Pb, Ag",Trace germanium in sphalerite,"Zn, Pb, Ag, Ge, Cd, In","Veins, replacement",By-product resource,"Volcanic rocks, dacite dome",Andean Belt,Miocene volcanics,Structurally controlled veins,Ge: 30-100 ppm in sphalerite; Zn: 2-4%; Pb: 1-2.5%; Ag: 100-300 g/t,Polymetallic vein system; Ge in sphalerite,Germanium
Silesia-Cracow,Poland,Triassic (220-250 Ma),Mississippi Valley-type,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,MVT,"By-product: Ge; Main: Zn, Pb",Trace germanium in sphalerite,"Zn, Pb, Ge, Cd",Stratabound,By-product resource,"Dolomite, limestone",Silesian-Cracow region,Muschelkalk carbonates,Epigenetic replacement; karst,Ge: 20-80 ppm in sphalerite; Zn: 4-8%; Pb: 2-4%,Major MVT district; Ge in sphalerite,Germanium
Dongsheng Coal,China,Jurassic (150-200 Ma),Sedimentary,ASTER/Landsat mapped coal basins,Seismic and resistivity surveys defined basin,Coal,By-product: Ge; Main: Coal,Organically bound germanium,"C, S, As, U","Stratiform, basin-wide",By-product resource,"Coal, shale",Ordos Basin,Jurassic coal seams,Low-temperature accumulation in coal,Ge: 200-600 ppm in coal ash,Major source of Chinese Ge production,Germanium
Jinding,China,Tertiary (15-50 Ma),Sandstone-hosted,ASTER/Landsat mapped sedimentary sequence,IP surveys mapped sulfide bodies; gravity defined basin,Sandstone/carbonate-hosted,"By-product: Ge; Main: Zn, Pb",Trace germanium in sphalerite,"Zn, Pb, Ag, Ge, Cd","Stratiform, disseminated",By-product resource,"Sandstone, carbonate",Lanping-Simao Basin,Tertiary sediments,Epigenetic; basin fluids,Ge: 50-150 ppm in sphalerite; Zn: 5-8%; Pb: 1-3%,Large sandstone-carbonate hosted Zn-Pb deposit,Germanium
Zinkgruvan,Sweden,Paleoproterozoic (1.89 Ga),Volcanic-hosted,ASTER/Landsat mapped volcanic sequence,EM surveys mapped conductive zones; magnetic data detected structures,VHMS,"By-product: Ge; Main: Zn, Pb, Ag, Cu",Trace germanium in sphalerite,"Zn, Pb, Cu, Ag, Ge","Stratiform, massive",By-product resource,"Metavolcanics, metasediments",Bergslagen,Svecofennian,Metamorphosed VHMS,Ge: 30-90 ppm in sphalerite; Zn: 7-10%; Pb: 2-4%; Ag: 60-100 g/t,Metamorphosed VHMS deposit,Germanium
Koktau,Kazakhstan,Carboniferous (300-350 Ma),Skarn,ASTER/Landsat mapped contact zone,IP surveys mapped sulfide bodies; magnetic data detected structures,Skarn,"By-product: Ge; Main: Sn, Zn",Trace germanium in sphalerite,"Sn, Zn, In, Ge",Irregular skarn bodies,By-product resource,"Limestone, granite",Central Asia,Carboniferous carbonates,Contact metamorphism; metasomatism,Ge: 50-150 ppm in sphalerite; Zn: 3-6%; Sn: 0.5-1.0%,"Unusual Sn-Zn skarn with Ge, In enrichment",Germanium
Vazante,Brazil,Neoproterozoic (650-850 Ma),Carbonate replacement,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,Carbonate replacement,By-product: Ge; Main: Zn,"Trace germanium in willemite, sphalerite","Zn, Pb, Ag, Ge, Cd","Structurally controlled, vein-like",By-product resource,Dolomite,Brasília Fold Belt,Vazante Group,Structurally controlled replacement,Ge: 40-120 ppm in sphalerite; Zn: 10-20%,Unusual non-sulfide (willemite) Zn deposit,Germanium
Tsumeb,Namibia,Neoproterozoic (600-650 Ma),Carbonate replacement,ASTER/Landsat mapped carbonate sequence,IP surveys mapped sulfide bodies; magnetic data detected structures,Carbonate replacement,"By-product: Ge; Main: Cu, Pb, Zn","Germanite, renierite, trace germanium in sulfides","Cu, Pb, Zn, Ge, Ga, Ag",Pipe-like replacement body,Historic producer,Dolomite,Damara Belt,Otavi Group,Structurally controlled replacement,Ge: 200-800 ppm in sulfides; Cu: 5-10%; Pb: 10-15%; Zn: 3-8%,Unusual high-grade polymetallic deposit; Ge minerals,Germanium
George Fisher,Australia,Paleoproterozoic (1.64 Ga),Sedimentary-exhalative,ASTER/Landsat mapped pyritic shale sequence,EM surveys mapped conductive zones; gravity detected dense bodies,SEDEX,"By-product: Ge; Main: Zn, Pb, Ag",Trace germanium in sphalerite,"Zn, Pb, Ag, Ge, Cd","Stratiform, massive",By-product resource,"Pyritic shale, dolomitic siltstone",Mt. Isa Inlier,Urquhart Shale,Synsedimentary exhalative,Ge: 30-100 ppm in sphalerite; Zn: 10-13%; Pb: 5-8%,Part of Mt. Isa district; Ge recovery from zinc processing,Germanium
Laisvall,Sweden,Neoproterozoic-Cambrian (540-650 Ma),Sandstone-hosted,ASTER/Landsat mapped sedimentary sequence,IP surveys mapped sulfide bodies; gravity defined basin,Sandstone-hosted,"By-product: Ge; Main: Pb, Zn",Trace germanium in sphalerite,"Pb, Zn, Ge, Ag","Stratiform, disseminated",Historic producer,Sandstone,Baltic Shield margin,Neoproterozoic-Cambrian sandstone,Epigenetic; basin fluids,Ge: 20-60 ppm in sphalerite; Pb: 4-7%; Zn: 0.5-1.5%,Classic sandstone-hosted Pb-Zn deposit; now exhausted,Germanium
