Murrin Murrin,Australia,Archean-Proterozoic (2.7 Ga),Lateritic,ASTER/Landsat mapped laterite caps,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 1-50 m thick",0.7 Mt Co at 0.08% Co,Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Co: 0.07-0.1%; Ni: 0.8-1.2%,Lateritic profile over ultramafics; tropical weathering,Cobalt
Kalgoorlie Nickel,Australia,"Archean-Recent (2.7 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 1-20 m thick",0.3 Mt Co at 0.06% Co,Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Co: 0.05-0.08%; Ni: 0.7-1.1%,Lateritic profile; variable thickness and grade,Cobalt
Black Swan,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped gossans,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, violarite","Cu, Ni, Pt, Pd","Massive to disseminated, pod-like",0.06 Mt Co at 0.05% Co,Komatiite,Yilgarn Craton,Kambalda Sequence,Flow dynamics; thermal erosion,Co: 0.04-0.06%; Ni: 0.7-3.5%,Komatiite-hosted; multiple flow units,Cobalt
Mount Keith,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic unit,Magnetic surveys mapped intrusion; gravity defined geometry,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite, violarite","Cu, Ni, Pt, Pd","Disseminated, sill-like",0.15 Mt Co at 0.014% Co,Komatiite,Yilgarn Craton,Mount Keith Ultramafic Complex,Olivine cumulate zone,Co: 0.01-0.02%; Ni: 0.5-0.7%,"Low-grade, high-tonnage; disseminated sulfides",Cobalt
Goro,New Caledonia,"Tertiary-Recent (23 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 20-30 m thick",0.5 Mt Co at 0.11% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.1-0.15%; Ni: 1.5-2.5%,Tropical weathering of obducted ophiolite,Cobalt
Moa Bay,Cuba,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 10-20 m thick",0.4 Mt Co at 0.13% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.1-0.15%; Ni: 1.0-1.5%,Tropical weathering of obducted ophiolite,Cobalt
Koniambo,New Caledonia,"Tertiary-Recent (37 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 20-30 m thick",0.35 Mt Co at 0.1% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.08-0.12%; Ni: 1.0-2.0%,Tropical weathering of obducted ophiolite,Cobalt
Weda Bay,Indonesia,"Tertiary-Recent (25 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 15-25 m thick",0.35 Mt Co at 0.12% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.1-0.14%; Ni: 1.2-1.8%,Tropical weathering of ophiolite complex,Cobalt
Sorowako,Indonesia,"Tertiary-Recent (30 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 20-30 m thick",0.3 Mt Co at 0.08% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.07-0.1%; Ni: 1.5-2.0%,Tropical weathering of ophiolite complex,Cobalt
Eagle,USA,Mesoproterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Pipe-like, 300 m depth",0.01 Mt Co at 0.09% Co,"Gabbro, peridotite",Midcontinent Rift,Duluth Complex,Magma conduit; sulfide segregation,Co: 0.08-0.1%; Ni: 3.0-3.6%; Cu: 2.2-2.8%,Conduit-style magmatic deposit,Cobalt
Thompson,Canada,Paleoproterozoic (1.88 Ga),Magmatic,ASTER/Landsat mapped gossans and belt,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, millerite","Cu, Ni, Pt, Pd","Massive to disseminated, multiple lenses",0.05 Mt Co at 0.05% Co,"Metavolcanics, metasediments",Thompson Nickel Belt,Ospwagan Group,Magma-sulfide interaction,Co: 0.04-0.06%; Ni: 2.0-3.0%,Metamorphosed ultramafic complex,Cobalt
Kamoa-Kakula,DRC,Neoproterozoic (880-600 Ma),Sedimentary-diagenetic,ASTER/Landsat mapped prospective stratigraphy,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted stratiform,Main: Cu; By-product: Co,"Chalcocite, bornite, carrollite","Cu, Ni, Mn, Fe","Stratiform, tabular",1.0 Mt Co at 0.1% Co,"Grand Conglomerate, diamictite",Lufilian Arc,Nguba Group,Redox boundaries,Co: 0.08-0.12%; Cu: 4.0-6.0%,Stratiform deposit at redox boundary,Cobalt
Raglan,Canada,Paleoproterozoic (1.89 Ga),Magmatic,ASTER/Landsat mapped gossans,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd",Multiple lenses along 55 km trend,0.035 Mt Co at 0.06% Co,Komatiite,Cape Smith Belt,Raglan Formation,Flow dynamics; thermal erosion,Co: 0.05-0.07%; Ni: 2.5-3.0%; Cu: 0.7-1.0%,Komatiite-hosted; multiple flow channels,Cobalt
Dumont,Canada,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic unit,Magnetic surveys mapped intrusion; gravity defined geometry,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, awaruite, heazlewoodite","Cu, Ni, Pt, Pd","Sill-like, disseminated",0.1 Mt Co at 0.02% Co,"Dunite, peridotite",Abitibi greenstone belt,Komatiitic sequence,Olivine cumulate zone,Co: 0.015-0.025%; Ni: 0.25-0.35%,"Low-grade, high-tonnage; disseminated sulfides",Cobalt
Kevitsa,Finland,Paleoproterozoic (2.06 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected disseminated sulfides; magnetics mapped intrusion,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Disseminated, intrusion-hosted",0.08 Mt Co at 0.01% Co,"Pyroxenite, peridotite",Lapland Greenstone Belt,Central Lapland Greenstone Belt,Magma chamber processes,Co: 0.01-0.015%; Ni: 0.3-0.4%; Cu: 0.4-0.5%,"Low-grade, high-tonnage; disseminated sulfides",Cobalt
Sakatti,Finland,Paleoproterozoic (2.05 Ga),Magmatic,ASTER/Landsat mapped glacial cover,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusion,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Massive to disseminated, multiple lenses",0.05 Mt Co at 0.05% Co,Ultramafic intrusion,Lapland Greenstone Belt,Central Lapland Greenstone Belt,Magma conduit; sulfide segregation,Co: 0.04-0.06%; Ni: 1.5-3.0%; Cu: 1.0-2.0%,Covered by glacial till; high-grade massive sulfides,Cobalt
Talvivaara,Finland,Paleoproterozoic (2.0 Ga),Sedimentary-exhalative,ASTER/Landsat mapped gossans,IP and electromagnetic surveys mapped sulfide zones,Black shale,"Main: Ni; By-product: Co, Zn, Cu","Pyrite, pyrrhotite, pentlandite, sphalerite","Cu, Ni, Zn, Mo","Stratiform, sheet-like",0.3 Mt Co at 0.02% Co,Black shales,Kainuu Schist Belt,Talvivaara Formation,Synsedimentary exhalative,Co: 0.015-0.025%; Ni: 0.22-0.27%; Zn: 0.5%,"Low-grade, high-tonnage black shale deposit",Cobalt
NICO,Canada,Paleoproterozoic (1.87 Ga),Iron oxide-copper-gold,ASTER/Landsat mapped alteration zones,Gravity surveys detected dense ore; magnetics mapped structure,IOCG,"Main: Co, Au, Bi; By-product: Cu","Cobaltite, arsenopyrite, bismuthinite","Cu, Au, Bi, W, Mo","Multiple lenses, structurally controlled",0.07 Mt Co at 0.12% Co,Metasediments,Great Bear Magmatic Zone,Lou Lake metasediments,Hydrothermal brecciation; structural control,Co: 0.11-0.13%; Au: 0.9 g/t; Bi: 0.14%,Polymetallic IOCG system,Cobalt
Idaho Cobalt Belt,USA,Mesoproterozoic (1.37 Ga),Sedimentary-exhalative,ASTER/Landsat mapped alteration zones,IP surveys mapped sulfide zones; magnetic data detected structures,Stratabound,"Main: Co, Cu; By-product: Au","Cobaltite, chalcopyrite, pyrite","Cu, As, Au, Fe","Stratabound, multiple lenses",0.035 Mt Co at 0.6% Co,Metasediments,Belt-Purcell Basin,Apple Creek Formation,Synsedimentary exhalative,Co: 0.5-0.7%; Cu: 0.6-0.8%; Au: 0.5 g/t,High-grade Co mineralization in metasediments,Cobalt
Bou Azzer,Morocco,Neoproterozoic (600-685 Ma),Hydrothermal,ASTER/Landsat mapped ophiolite belt,Magnetic surveys mapped ultramafic rocks,Hydrothermal vein,"Main: Co, Ni; By-product: As","Skutterudite, safflorite, cobaltite","As, Ni, Bi, Ag","Vein systems, structurally controlled",0.02 Mt Co at 1.0% Co,Serpentinized peridotites,Anti-Atlas belt,Ophiolite sequence,Structural control along faults,Co: 0.8-1.2%; Ni: 0.5-0.8%; As: 3-5%,Hydrothermal veins in ophiolite sequence,Cobalt
Mt. Thirsty,Australia,"Archean-Tertiary (2.9 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,"Main: Co, Ni","Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 5-15 m thick",0.08 Mt Co at 0.13% Co,Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Co: 0.12-0.15%; Ni: 0.5-0.8%,High Co:Ni ratio laterite,Cobalt
Munali,Zambia,Paleoproterozoic (2.0 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni; By-product: Co, Cu, PGE","Pentlandite, pyrrhotite, chalcopyrite","Cu, Ni, Pt, Pd","Massive to disseminated, multiple lenses",0.025 Mt Co at 0.07% Co,Gabbronorite,Southern Irumide Belt,Enterprise Complex,Magma conduit; sulfide segregation,Co: 0.06-0.08%; Ni: 0.6-1.0%; Cu: 0.1-0.3%,Magmatic sulfide deposit in mafic intrusion,Cobalt
Nkamouna,Cameroon,"Cretaceous-Recent (65 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,"Main: Co, Ni; By-product: Mn","Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 20-30 m thick",0.3 Mt Co at 0.25% Co,Weathered ultramafics,Congo Craton margin,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.2-0.3%; Ni: 0.7-1.0%; Mn: 3-5%,High Co:Ni ratio laterite; manganese enrichment,Cobalt
Decar,Canada,Mesozoic (185 Ma),Magmatic,ASTER/Landsat mapped ultramafic rocks,Magnetic surveys mapped awaruite-rich zones,Awaruite,"Main: Ni; By-product: Co, Fe","Awaruite, magnetite","Ni, Fe, Cr","Disseminated, intrusion-hosted",0.04 Mt Co at 0.01% Co,Serpentinized peridotite,Intermontane Belt,Cache Creek Terrane,Serpentinization of ultramafics,Co: 0.008-0.012%; Ni: 0.2-0.3%,"Low-grade, high-tonnage; awaruite mineralization",Cobalt
Turnagain,Canada,"Alaskan-type (Jurassic, 180 Ma)",Magmatic,ASTER/Landsat mapped intrusion,Magnetic surveys mapped ultramafic complex,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite","Cu, Ni, Pt, Pd","Disseminated, intrusion-hosted",0.06 Mt Co at 0.02% Co,Hornblende pyroxenite,Intermontane Belt,Alaskan-type intrusion,Magma chamber processes,Co: 0.015-0.025%; Ni: 0.2-0.25%; Cu: 0.01-0.02%,"Low-grade, high-tonnage in Alaskan-type intrusion",Cobalt
Las Cruces,Spain,Late Paleozoic (350 Ma),Volcanogenic massive sulfide,ASTER/Landsat mapped alteration,IP surveys mapped sulfide body; magnetic data detected structures,VMS,"Main: Cu; By-product: Ag, Co, Zn","Chalcocite, covellite, chalcopyrite, sphalerite","Cu, Zn, Pb, Ag, Co",Lens-shaped massive sulfide,0.02 Mt Co at 0.06% Co,Volcanic and sedimentary rocks,Iberian Pyrite Belt,Volcano-sedimentary complex,Seafloor hydrothermal system,Co: 0.05-0.07%; Cu: 5.0-6.0%; Zn: 1.5%,Secondary enrichment beneath gossan,Cobalt
Ramu,Papua New Guinea,"Tertiary-Recent (20 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 10-20 m thick",0.14 Mt Co at 0.1% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.09-0.11%; Ni: 0.9-1.3%,Tropical weathering of ophiolite complex,Cobalt
Ambatovy,Madagascar,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 20-30 m thick",0.17 Mt Co at 0.11% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.1-0.12%; Ni: 1.0-1.3%,Tropical weathering of ophiolite complex,Cobalt
Nova-Bollinger,Australia,Proterozoic (1.3 Ga),Magmatic,ASTER/Landsat mapped intrusive complex,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Eye-shaped, massive to matrix",0.03 Mt Co at 0.05% Co,Mafic-ultramafic intrusion,Albany-Fraser Orogen,Fraser Zone,Magma conduit; sulfide segregation,Co: 0.04-0.06%; Ni: 1.5-2.5%; Cu: 0.6-1.0%,Eye-shaped intrusion; massive and disseminated sulfides,Cobalt
Cawse,Australia,"Archean-Tertiary (2.7 Ga rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 10-20 m thick",0.08 Mt Co at 0.07% Co,Weathered ultramafics,Yilgarn Craton,Laterite profile over greenstone belt,Intense weathering; water table,Co: 0.06-0.08%; Ni: 0.6-1.0%,Lateritic profile over ultramafics,Cobalt
Sunrise (Syerston),Australia,"Ordovician-Tertiary (450 Ma rocks, Tertiary weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,"Main: Ni, Co; By-product: Sc","Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr, Sc","Blanket-like, 10-30 m thick",0.14 Mt Co at 0.1% Co,Weathered ultramafics,Lachlan Fold Belt,Laterite profile over Fifield Complex,Intense weathering; water table,Co: 0.09-0.11%; Ni: 0.7-0.9%; Sc: 300-400 ppm,High scandium content in laterite,Cobalt
Kambalda,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Electromagnetic surveys detected massive sulfides; magnetics mapped ultramafics,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, chalcopyrite","Cu, Ni, Pt, Pd",Multiple lenses at basal contact,0.04 Mt Co at 0.05% Co,Komatiite,Yilgarn Craton,Kambalda Sequence,Flow dynamics; thermal erosion,Co: 0.04-0.06%; Ni: 2.0-4.0%,Komatiite-hosted; multiple flow channels,Cobalt
Ntaka Hill,Tanzania,Neoproterozoic (750 Ma),Magmatic,ASTER/Landsat mapped ultramafic belt,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni; By-product: Co, Cu","Pentlandite, pyrrhotite, chalcopyrite","Cu, Ni, Pt, Pd","Multiple lenses, disseminated to massive",0.02 Mt Co at 0.03% Co,"Amphibolite, pyroxenite",Mozambique Belt,Nachingwea Complex,Magma conduit; sulfide segregation,Co: 0.02-0.04%; Ni: 0.6-1.0%; Cu: 0.1-0.2%,Metamorphosed magmatic sulfide deposit,Cobalt
Acoje,Philippines,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 5-15 m thick",0.06 Mt Co at 0.09% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.08-0.1%; Ni: 0.9-1.2%,Tropical weathering of ophiolite complex,Cobalt
Berong,Philippines,"Cretaceous-Recent (90 Ma rocks, recent weathering)",Lateritic,ASTER/Landsat mapped laterite distribution,Magnetic surveys mapped ultramafic rocks,Ni-Co laterite,Main: Ni; Co-product: Co,"Asbolane, lithiophorite, goethite","Ni, Mn, Fe, Cr","Blanket-like, 5-15 m thick",0.05 Mt Co at 0.07% Co,Weathered peridotite,Ophiolite,Laterite profile over ultramafics,Intense weathering; water table,Co: 0.06-0.08%; Ni: 0.8-1.1%,Tropical weathering of ophiolite complex,Cobalt
Radio Hill,Australia,Archean (2.9 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Massive to disseminated, multiple lenses",0.01 Mt Co at 0.04% Co,"Gabbro, pyroxenite",Pilbara Craton,Andover Complex,Magma conduit; sulfide segregation,Co: 0.03-0.05%; Ni: 0.5-0.7%; Cu: 0.6-0.8%,Magmatic sulfide deposit in mafic intrusion,Cobalt
Sally Malay (Savannah),Australia,Paleoproterozoic (1.84 Ga),Magmatic,ASTER/Landsat mapped intrusion,Electromagnetic surveys detected massive sulfides; magnetics mapped intrusions,Magmatic sulfide,"Main: Ni, Cu; By-product: Co, PGE","Pentlandite, chalcopyrite, pyrrhotite","Cu, Ni, Pt, Pd","Massive to disseminated, basal accumulation",0.02 Mt Co at 0.04% Co,Gabbro-norite,Halls Creek Orogen,Sally Malay intrusion,Magma conduit; sulfide segregation,Co: 0.03-0.05%; Ni: 1.0-1.5%; Cu: 0.6-0.8%,Magmatic sulfide deposit in mafic intrusion,Cobalt
Honeymoon Well,Australia,Archean (2.7 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Magnetic surveys mapped ultramafics; gravity defined intrusion,Magmatic sulfide,Main: Ni; By-product: Co,"Pentlandite, pyrrhotite, violarite","Cu, Ni, Pt, Pd","Disseminated, sill-like",0.1 Mt Co at 0.02% Co,Komatiite,Yilgarn Craton,Honeymoon Well Ultramafic Complex,Olivine cumulate zone,Co: 0.015-0.025%; Ni: 0.4-0.6%,"Low-grade, high-tonnage; disseminated sulfides",Cobalt
Kalgoorlie Nickel Smelter,Australia,N/A (Processing facility),,,,Cobalt recovery,By-product: Co from Ni processing,Cobalt sulfate,,,Historical production,,,,,Cobalt recovery from nickel matte,Recovery from nickel processing,Cobalt
Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Cobalt
Salar de Atacama,Chile,Quaternary (Recent to 1 Ma),Evaporitic,Multispectral imagery shows distinct salt flat signatures; ASTER detected Li-bearing evaporites,Gravity surveys indicate basin structure; MT surveys map brine aquifers,Continental brine,"Main: Li; By-products: K, B, Mg","Halite, ulexite, lithium chloride in brine","B, K, Mg, Na","Stratiform, basin-wide","High porosity (10-15%), high permeability aquifer","Quaternary evaporites, volcanic ash",Andean foreland basin,Quaternary lacustrine and evaporite beds,Closed basin hydrology; volcanic-hydrothermal input,"Li: 1,200-1,700 ppm in brine; Mg/Li ratio: 6.4",Terminal salt flat; volcanic ash input; arid climate,Cobalt
