Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Herberton,Australia,Permian-Triassic (240-280 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/vein,"Main: Sn; By-product: W, F","Cassiterite, wolframite, fluorite","W, F, Bi, As","Greisen, veins",Historic producer; 0.15 Mt Sn,"Granite, metasediments",North Queensland,Permian-Triassic granites,Magmatic-hydrothermal; structurally controlled,Sn: 0.5-2.0%; W: 0.1-0.3%; F: 5-10%,Historic tin district; greisen-vein style,Tin
Fenghuangshan,China,Jurassic (160-180 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/vein,"Main: Sn, W","Cassiterite, wolframite","W, Bi, Mo, F","Greisen, veins",0.1 Mt Sn at 0.2% Sn,Granite,South China,Yanshanian granites,Magmatic-hydrothermal; greisen alteration,Sn: 0.2-0.5%; W: 0.1-0.2%; F: 0.5-1.0%,Tin-tungsten deposit; greisen-vein style,Tin
Bolivian Tin Belt,Bolivia,Miocene (10-25 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped volcanic complexes and alteration zones,Magnetic surveys outlined intrusions; IP mapped mineralization,Porphyry/vein,"Main: Sn; By-product: Ag, Zn, W","Cassiterite, stannite, argentite","Ag, Zn, Pb, W, Bi","Vein systems, porphyries",Historic belt; >3 Mt Sn,"Volcanic rocks, granites",Andean Belt,"Miocene volcanics, intrusives",Structurally controlled veins,Sn: 0.5-3.0%; Ag: 50-500 g/t; Zn: 2-8%,World's premier tin province; multiple major deposits,Tin
Kamativi,Zimbabwe,Archean (2.62 Ga),Magmatic,ASTER/Landsat mapped pegmatite,"Radiometric surveys showed K, Th anomalies",LCT pegmatite,"Main: Sn; Co-products: Ta, Li","Cassiterite, columbite-tantalite, spodumene","Li, Ta, Nb, Be","Multiple dykes, 3 km strike length",Historic producer; 0.1 Mt Sn,Archean gneisses and schists,Zimbabwe craton margin,Intruded into Malaputese Formation,Structural control along shear zones,Sn: 0.2%; Ta₂O₅: 0.02%; Li₂O: 0.5-1.0%,Historic tin mine; pegmatite-hosted,Tin
Neves-Corvo,Portugal,Carboniferous (360-350 Ma),Volcanogenic massive sulfide,ASTER/Landsat mapped volcanic-sedimentary sequence,EM surveys mapped conductive zones; gravity detected dense bodies,VMS,"Main: Cu, Zn; By-product: Sn","Cassiterite, stannite, chalcopyrite, sphalerite","Cu, Zn, Pb, Ag, In","Massive, stratiform",By-product resource,"Volcanic rocks, black shale",Iberian Pyrite Belt,Volcanic-Sedimentary Complex,Seafloor hydrothermal activity,Sn: 0.2-0.8%; Cu: 5-10%; Zn: 6-12%,Major VMS deposit; unusually Sn-rich,Tin
San Luis,Argentina,Ordovician (425-470 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/vein,"Main: Sn, W","Cassiterite, wolframite","W, Nb, Ta, Li, F","Greisen, veins",Historic producer; ~0.05 Mt Sn,"Granite, metasediments",Sierras Pampeanas,Ordovician granites,Magmatic-hydrothermal; greisen alteration,Sn: 0.2-0.5%; W: 0.1-0.2%; F: 0.5-1.0%,Historic tin-tungsten district; greisen deposits,Tin
Achmmach,Morocco,Permian-Triassic (240-260 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Greisen/vein,Main: Sn,"Cassiterite, arsenopyrite","W, As, Bi",Vein systems,0.07 Mt Sn at 0.85% Sn,"Granite, schist",High Atlas,Hercynian basement,Structurally controlled veins,Sn: 0.7-1.0%; W: 0.05-0.1%; As: 0.2-0.5%,Advanced tin project; vein-greisen style,Tin
Pirquitas,Argentina,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped volcanic complex,IP surveys mapped sulfide zones; magnetic data detected structures,Epithermal vein,"Main: Ag, Sn; By-product: Zn","Cassiterite, stannite, argentite","Ag, Zn, Sn, In",Vein systems,0.07 Mt Sn at 0.5% Sn,"Dacite, volcanic rocks",Andean Belt,Miocene volcanics,Structurally controlled veins,Sn: 0.3-0.7%; Ag: 200-400 g/t; Zn: 1-3%,Unusual high-altitude Ag-Sn vein system,Tin
Catavi-Siglo XX,Bolivia,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Porphyry/vein,"Main: Sn; By-product: W, Ag","Cassiterite, wolframite, stannite","W, Ag, Bi, Zn","Vein system, stockwork",Historic producer; ~0.8 Mt Sn,Quartz porphyry,Andean Belt,Miocene intrusives,Structurally controlled veins,Sn: 1-2%; W: 0.1-0.2%; Ag: 50-150 g/t,Historic tin district; part of Llallagua district,Tin
Zaaiplaats,South Africa,Bushveld (2.05 Ga),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/pipe,Main: Sn,Cassiterite,"F, W, Nb, Ta","Pipe-like bodies, disseminated",Historic producer; ~0.08 Mt Sn,Bushveld granite,Kaapvaal Craton,Bushveld Complex,Magmatic-hydrothermal pipes and veins,Sn: 0.5-2.0%; W: 0.05-0.1%; F: 0.2-0.5%,Unusual pipe-like tin bodies; historic producer,Tin
Renison,Australia,Devonian (350-360 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined skarn zones; IP mapped sulfide zones,Carbonate replacement,"Main: Sn; By-product: Cu, W","Cassiterite, chalcopyrite, pyrrhotite","Cu, W, As, Bi","Stratabound, replacement",0.26 Mt Sn at 1.3% Sn,"Dolomite, sandstone, granite",Western Tasmania,Success Creek-Crimson Creek,Replacement along favorable beds,Sn: 1.0-1.5%; Cu: 0.2-0.3%; W: 0.05-0.1%,Major stratabound tin deposit; still operating,Tin
Mt. Bischoff,Australia,Devonian (350-360 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped topographical features and alteration,Radiometric and magnetic surveys outlined intrusive center,Carbonate replacement,Main: Sn; By-product: W,"Cassiterite, wolframite, pyrite","W, As, F","Stockwork, replacement",Historic producer; ~0.06 Mt Sn,"Dolomite, sandstone, intrusions",Western Tasmania,Arthur Metamorphic Complex,Replacement of carbonate beds,Sn: 1.0-2.0%; W: 0.1-0.2%; As: 0.2-0.5%,Historic high-grade tin district; replacement-style,Tin
Akenobe,Japan,Cretaceous (90-110 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined skarn zones; IP mapped sulfide zones,Skarn/vein,"Main: Sn, W, Cu","Cassiterite, scheelite, chalcopyrite","W, Cu, Zn, As","Skarn bodies, veins",Historic producer; ~0.03 Mt Sn,"Limestone, granite",Japanese island arc,Cretaceous intrusives,Contact metasomatism; vein systems,Sn: 0.5-1.0%; W: 0.2-0.5%; Cu: 0.5-1.0%,Historic polymetallic district; Sn-W-Cu association,Tin
Ardlethan,Australia,Triassic (220-230 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/breccia,Main: Sn,Cassiterite,"W, F, Li","Breccia pipes, greisen",Historic producer; ~0.05 Mt Sn,"Granite, volcanic rocks",Lachlan Fold Belt,Triassic intrusive,Magmatic-hydrothermal; breccia pipes,Sn: 0.3-0.8%; W: 0.01-0.05%; F: 0.1-0.3%,Tin-mineralized breccia pipes; historic producer,Tin
Chorolque,Bolivia,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Porphyry/vein,"Main: Sn; By-product: W, Ag","Cassiterite, wolframite, stannite","W, Ag, Bi, Zn","Vein system, stockwork",Historic producer; ~0.15 Mt Sn,Quartz porphyry,Andean Belt,Miocene intrusives,Structurally controlled veins,Sn: 0.5-1.5%; W: 0.1-0.2%; Ag: 30-100 g/t,High-altitude tin district; part of Bolivian Tin Belt,Tin
Huanuni,Bolivia,Miocene (10-20 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Magnetic surveys outlined intrusion; IP mapped mineralization,Porphyry/vein,"Main: Sn; By-product: W, Ag","Cassiterite, wolframite, stannite","W, Ag, Bi, Zn","Vein system, stockwork",0.1 Mt Sn at 1.5% Sn,"Quartzite, shale, porphyry",Andean Belt,Paleozoic metasediments,Structurally controlled veins,Sn: 1.0-2.0%; W: 0.05-0.15%; Ag: 20-80 g/t,Major operating tin mine; part of Bolivian Tin Belt,Tin
Cinovec/Zinnwald,Czech Republic/Germany,Late Variscan (312-315 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite dome,Gravity surveys detected granite cupola,Greisen,"Main: Li, Sn; By-product: W","Cassiterite, wolframite, zinnwaldite","Li, W, Rb, Cs, Nb, Ta",Flat-lying greisen sheets,0.16 Mt Sn at 0.4% Sn,"Granite, greisen",Erzgebirge,Late Variscan granite,Apical portion of granite cupola,Sn: 0.2-0.6%; W: 0.02-0.05%; Li₂O: 0.3-0.5%,Greisen-style Li-Sn-W deposit,Tin
Mawchi,Myanmar,Cretaceous (90-100 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Vein/greisen,"Main: Sn, W","Cassiterite, wolframite","W, Nb, Ta, F",Vein systems,Historic producer; ~0.1 Mt Sn,"Granite, sediments",Southeast Asian Tin Belt,Cretaceous granites,Structurally controlled veins,Sn: 0.5-1.5%; W: 0.2-0.5%; Nb₂O₅: 0.01-0.02%,Significant Sn-W vein system; historic producer,Tin
Nong Sua,Thailand,Triassic (200-250 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and placer deposits,Radiometric and magnetic surveys outlined granite bodies,Greisen/placer,Main: Sn,Cassiterite,"W, Nb, Ta, Zr","Greisen, veins, placer",Historic producer; ~0.08 Mt Sn,"Granite, sediments",Southeast Asian Tin Belt,Triassic granites,Magmatic differentiation; greisen alteration,Sn: 0.2-0.5% in primary; 0.01-0.1% in placer,Part of SE Asian Tin Belt; primary and placer deposits,Tin
Bushveld Tin Fields,South Africa,Bushveld (2.05 Ga),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/pipe,Main: Sn; By-product: F,"Cassiterite, fluorite","F, W, Nb, Ta","Pipe-like bodies, disseminated",Historic producer; ~0.2 Mt Sn,Bushveld granite,Kaapvaal Craton,Bushveld Complex,Magmatic-hydrothermal pipes and veins,Sn: 0.3-1.0%; F: 5-15%; W: 0.02-0.05%,Multiple tin deposits in Bushveld granite; historic producer,Tin
Älgträsk,Sweden,Svecofennian (1.8 Ga),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Greisen/vein,"Main: Sn, W","Cassiterite, wolframite","W, F, Li, Be","Greisen, veins",0.01 Mt Sn at 0.3% Sn,Granite,Fennoscandian Shield,Svecofennian granites,Magmatic-hydrothermal; greisen alteration,Sn: 0.2-0.4%; W: 0.05-0.15%; F: 0.2-0.5%,Greisen-style Sn-W deposit,Tin
Malay-Thai Peninsula,Malaysia/Thailand,Triassic (200-250 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and placer deposits,Radiometric and magnetic surveys outlined granite bodies,Granite/placer,Main: Sn,Cassiterite,"W, Nb, Ta, Zr","Greisen, veins, placer",Historic belt; >2 Mt Sn,"Granite, sediments",Southeast Asian Tin Belt,Triassic granites,Magmatic differentiation; placer concentration,Sn: 0.1-0.3% in primary; 0.01-0.1% in placer,World's most productive tin belt; primarily placer mining,Tin
Cleveland,Australia,Devonian (350-360 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined skarn zones; IP mapped sulfide zones,Carbonate replacement,"Main: Sn; By-product: Cu, W","Cassiterite, chalcopyrite, wolframite","Cu, W, As, Bi","Stratabound, replacement",Historic producer; ~0.03 Mt Sn,"Limestone, volcanic rocks",Western Tasmania,Mt Read Volcanics,Replacement along favorable beds,Sn: 0.7-1.2%; Cu: 0.3-0.5%; W: 0.05-0.1%,Stratabound tin deposit; historic producer,Tin
Wheal Jane,UK,Permian-Carboniferous (270-300 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped granite and alteration zones,Radiometric and magnetic surveys outlined granite bodies,Vein,"Main: Sn; By-product: Zn, Cu","Cassiterite, sphalerite, chalcopyrite","Zn, Cu, As, F",Vein systems,Historic producer; ~0.05 Mt Sn,"Slate, granite",Cornubian batholith,Carboniferous-Permian,Magmatic-hydrothermal; structurally controlled,Sn: 1.0-2.0%; Zn: 1.0-3.0%; Cu: 0.5-1.0%,Historic tin mine in Cornwall; polymetallic veins,Tin
Sadisdorf,Germany,Late Variscan (305-320 Ma),Magmatic-hydrothermal,ASTER/Landsat mapped intrusion and alteration zones,Radiometric and magnetic surveys outlined intrusive bodies,Greisen,"Main: Sn, Li; By-product: W","Cassiterite, zinnwaldite, wolframite","Li, W, F","Greisen, stockwork",0.025 Mt Sn at 0.27% Sn,Granite,Erzgebirge,Variscan granites,Magmatic-hydrothermal; greisen alteration,Sn: 0.2-0.3%; Li₂O: 0.3-0.4%; W: 0.02-0.05%,Greisen-style Sn-Li deposit,Tin
Cripple Creek,USA,Oligocene (28-32 Ma),Epithermal,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Epithermal,By-product: Te; Main: Au,"Calaverite, sylvanite, krennerite, native gold","Au, Ag, Te, V, F","Diatreme complex, veins",By-product resource,"Breccia, phonolite",Rio Grande Rift,Tertiary volcanics,Structurally controlled veins in diatreme,Te: 50-300 ppm; Au: 5-50 g/t; Ag: 10-100 g/t,Alkaline-related epithermal deposit; Te-rich gold tellurides,Tin
Kalgoorlie,Australia,Archean (2.64-2.69 Ga),Mesothermal,ASTER/Landsat mapped greenstone belt,IP surveys mapped sulfide zones; magnetic data mapped structure,Orogenic gold,By-product: Te; Main: Au,"Calaverite, petzite, krennerite, native gold","Au, Ag, Te, W, As","Shear zone, vein system",By-product resource,"Basalt, dolerite",Yilgarn Craton,Golden Mile Dolerite,Structurally controlled veins,Te: 30-150 ppm; Au: 5-30 g/t; As: 100-500 ppm,Classic Archean lode gold deposit; significant Te in tellurides,Tin
Emperor,Fiji,Miocene (3-7 Ma),Epithermal,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Epithermal,By-product: Te; Main: Au,"Sylvanite, calaverite, native tellurium, petzite","Au, Ag, Te, Se",Shear-controlled vein system,By-product resource,"Andesite, monzonite",Island arc,Tertiary volcanics,Structurally controlled veins,Te: 100-500 ppm; Au: 10-50 g/t; Ag: 5-30 g/t,Alkaline-related epithermal deposit; high Te content,Tin
Bingham Canyon,USA,Tertiary (37-38 Ma),Porphyry,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"By-product: Te; Main: Cu, Mo, Au","Trace tellurium in chalcopyrite, bornite","Cu, Mo, Au, Ag, Re, Te","Cylindrical, stockwork",By-product resource,Monzonite porphyry,Back-arc extension,Middle Tertiary intrusives,Magmatic-hydrothermal; concentric zoning,Te: 1-5 ppm in copper concentrates; Cu: 0.5-0.8%; Mo: 0.03-0.05%,Major porphyry deposit; Te recovered during copper refining,Tin
Dashuigou,China,Permian-Triassic (230-260 Ma),Hydrothermal,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Vein,"Main: Te, Bi","Tetradymite, native tellurium, tellurobismuthite","Bi, Au, Pb, Zn",Vein system,"54,000 t at 2.5% Te",Carbonaceous slate,Sichuan Basin,Permian-Triassic sediments,Structurally controlled veins,Te: 1.0-4.0%; Bi: 3-7%; Au: 2-10 g/t,One of few primary Te deposits; Te-Bi association,Tin
Panorama,Australia,Archean (3.24 Ga),Epithermal,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Epithermal,"Main: Te, Au","Calaverite, coloradoite, native gold","Au, Ag, Te, Hg",Vein system,"<1,000 t Te resource",Felsic volcanic rocks,Pilbara Craton,Sulphur Springs Group,Structurally controlled veins,Te: 0.5-3.0%; Au: 5-20 g/t; Hg: 0.1-0.5%,Archean epithermal system; unusual Te-rich deposit,Tin
Kankberg,Sweden,Paleoproterozoic (1.89 Ga),Orogenic gold,ASTER/Landsat mapped volcanic belt,IP and EM surveys mapped sulfide zones; magnetic data mapped structure,Orogenic gold,By-product: Te; Main: Au,"Tellurides, native gold, pyrite","Au, Ag, Te, As, Sb","Stratabound, shear-controlled",By-product resource,"Volcanic rocks, intrusions",Skellefte District,Skellefte Group,Structurally controlled veins,Te: 50-200 ppm; Au: 4-8 g/t; Ag: 5-15 g/t,Significant Te recovered as by-product,Tin
Maricunga,Chile,Miocene (13-17 Ma),Epithermal/porphyry,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Epithermal,"By-product: Te; Main: Au, Ag","Tellurides, native gold, electrum","Au, Ag, Te, Cu, As",High-sulfidation epithermal,By-product resource,"Volcanic rocks, porphyry",Andean Belt,Miocene volcanics,Structurally controlled; volcanic-related,Te: 10-50 ppm; Au: 0.5-2.0 g/t; Ag: 5-20 g/t,High-sulfidation epithermal system; Te in tellurides,Tin
Jiama (Gyama),China,Miocene (10-15 Ma),Porphyry/skarn,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry/skarn,"By-product: Te; Main: Cu, Mo","Trace tellurium in chalcopyrite, bornite","Cu, Mo, Au, Ag, Te","Porphyry system, skarn",By-product resource,"Granodiorite, limestone",Himalayan,Miocene intrusives,Magmatic-hydrothermal; contact metasomatism,Te: 5-20 ppm in copper concentrates; Cu: 0.4-0.7%; Mo: 0.02-0.04%,Complex porphyry-skarn system; Te recovered during copper refining,Tin
Morenci,USA,Paleocene (56 Ma),Porphyry,ASTER/Landsat mapped alteration zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"By-product: Te; Main: Cu, Mo",Trace tellurium in chalcopyrite,"Cu, Mo, Au, Te","Cylindrical, stockwork",By-product resource,Granodiorite porphyry,Laramide orogeny,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Te: 1-5 ppm in copper concentrates; Cu: 0.4-0.6%; Mo: 0.01-0.02%,Major porphyry deposit; Te recovered during copper refining,Tin
El Indio,Chile,Miocene (6-10 Ma),Epithermal,ASTER/Landsat mapped alteration zones,IP and resistivity mapped sulfide zones; magnetic data mapped structure,Epithermal,"By-product: Te; Main: Au, Ag, Cu","Tellurides, enargite, native gold","Au, Ag, Cu, As, Sb, Te",High-sulfidation epithermal,By-product resource,Volcanic rocks,Andean Belt,Miocene volcanics,Structurally controlled; volcanic-related,Te: 20-100 ppm; Au: 5-50 g/t; Ag: 50-300 g/t; Cu: 1-5%,High-sulfidation epithermal system; significant Te content,Tin
