Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Songwe Hill,Malawi,Mesozoic (130-135 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Sr, Ba","Synchysite, apatite","Ba, Sr, F, Th","Plug, veins",2.73 Mt REO at 1.5% REO,"Carbonatite, fenite",Chilwa Alkaline Province,Songwe-Mauze Complex,Magmatic and hydrothermal processes,ΣREE: 1.2-2.0%; LREE-enriched,Carbonatite-syenite complex,Rare
Gakara,Burundi,Proterozoic (550-600 Ma),Carbonatite,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped veins,Hydrothermal veins,Main: REE,"Bastnäsite, monazite","Ba, Sr, F, Th",Vein systems,"High-grade veins, >50% REO",Pegmatitic veins in metasediments,Pan-African Orogeny,Veins cutting metasediments,Structurally controlled veins,ΣREE: 45-67%; LREE-enriched,Exceptionally high-grade bastnäsite-monazite veins,Rare
Norra Kärr,Sweden,Proterozoic (1.55 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive body,Magnetic and gravity surveys outlined intrusion,Peralkaline intrusion,"Main: REE, Zr; By-product: Nb, Y","Eudialyte, catapleiite","Zr, Nb, Y, Hf",Oval-shaped intrusion,41.6 Mt at 0.57% TREO,Agpaitic nepheline syenite,Anorogenic intrusion,Transscandinavian Igneous Belt,Magmatic differentiation,"ΣREE: 0.45-0.65%; HREE-enriched; low Th, U",HREE-enriched agpaitic nepheline syenite,Rare
Dubbo,Australia,Triassic (219 Ma),Alkaline intrusion,ASTER/Landsat mapped intrusive body,"Radiometric surveys detected Th, U anomalies",Alkaline intrusion,"Main: REE, Zr; By-product: Nb, Hf","Eudialyte, fergusonite","Zr, Nb, Hf, Y, Th","Vertical, pipe-like","452,000 t REO at 0.9% TREO",Trachyte,East Australian Rift,Toongi trachyte,Magmatic processes,ΣREE: 0.75-1.0%; Zr: 1.9%; Nb: 0.5%,Pipe-like alkaline intrusion; multi-element deposit,Rare
Bear Lodge,USA,Tertiary (38-52 Ma),Carbonatite,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data outlined complex,Carbonatite,Main: REE; By-product: Th,"Bastnäsite, ancylite, monazite","Ba, Sr, F, Th","Multiple dikes, breccias",2.7 Mt REO at 3.05% TREO,"Carbonatite, diatreme",Western Cordillera,Eocene intrusion,"Hydrothermal alteration, weathering",ΣREE: 2.5-4.0%; LREE-enriched,Complex carbonatite-alkaline intrusive center,Rare
Bokan Mountain,USA,Jurassic (151 Ma),Peralkaline granite,ASTER/Landsat mapped intrusive complex,"Radiometric detected U, Th anomalies; magnetic data outlined intrusion",Peralkaline granite,"Main: REE, Y, U; By-product: Zr, Nb","Xenotime, allanite, fergusonite","U, Th, Zr, Nb, Y, Be",Multiple dikes and veins,"126,000 t REO at 0.4% TREO",Peralkaline granite,Cordilleran margin,Prince of Wales Complex,Hydrothermal alteration of granite,ΣREE: 0.35-0.65%; HREE-enriched; U: 0.02-0.05%,HREE-enriched; multiple vein systems; historic U district,Rare
Tanbreez,Greenland,Paleoproterozoic (1.16 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive complex,Magnetic and gravity surveys outlined layered intrusion,Peralkaline intrusion,"Main: REE, Zr; By-product: Nb, Ta","Eudialyte, rinkite","Zr, Nb, Ta, Y",Layered sequences,500 Mt at 0.65% TREO,Kakortokite (layered nepheline syenite),Continental rift,Ilímaussaq complex,Magmatic layering,ΣREE: 0.5-0.8%; HREE-enriched; Zr: 1.8%,Layered alkaline complex; eudialyte-rich horizons,Rare
Clay-Howells,Canada,Proterozoic (1.05 Ga),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Fe, Nb","Pyrochlore, bastnäsite, allanite","Nb, Fe, P, Th",Circular intrusion,27 Mt at 0.53% TREO,"Carbonatite, ijolite",Mid-Continent Rift,Kapuskasing Structural Zone,Magmatic processes,ΣREE: 0.4-0.7%; LREE-enriched; Fe: 30%,Composite carbonatite-alkaline complex,Rare
Foxtrot,Canada,Neoproterozoic (1.0 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive body,"Radiometric detected high Th, U; magnetic data outlined intrusion",Peralkaline pegmatite,"Main: REE, Zr; By-product: Y, Nb","Allanite, fergusonite, zircon","Zr, Nb, Y, Th, U","Tabular dike, 1,100 m length","295,000 t REO at 1.05% TREO",Peralkaline pegmatite,Anorogenic intrusion,Red Wine Complex,Late-stage magmatic differentiation,ΣREE: 0.9-1.2%; HREE-enriched; Zr: 2.0%,HREE-enriched peralkaline pegmatite dike,Rare
Browns Range,Australia,Archean-Paleoproterozoic (1.65 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,"Radiometric detected Th, Y anomalies; magnetic data mapped structures",Hydrothermal,"Main: HREE, Y; By-product: U",Xenotime,"Y, Th, U, P",Multiple veins and breccias,"35,900 t TREO at 0.66% TREO",Metasediments,Granites-Tanami Orogen,Browns Range Metamorphics,Structurally controlled; unconformity-related,ΣREE: 0.5-0.8%; HREE-enriched; Y-dominant,HREE-enriched; xenotime-rich hydrothermal system,Rare
Hoidas Lake,Canada,Paleoproterozoic (1.87-1.91 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped linears,Hydrothermal veins,Main: REE; By-product: Th,"Allanite, apatite, monazite, bastnäsite","P, F, Th, Sr, Ba",Vein systems,2.6 Mt at 2.4% TREO,"Metasediments, metavolcanics",Trans-Hudson Orogen,Ena Domain,Structurally controlled veins,ΣREE: 1.8-3.0%; LREE-enriched,REE-enriched apatite-allanite veins,Rare
Ashram,Canada,Mesoproterozoic (1.87 Ga),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Nb, F","Monazite, bastnäsite, ancylite","F, Ba, Sr, Th, Nb",Oval intrusion,1.6 Mt REO at 1.9% TREO,Carbonatite,New Quebec Orogen,Eldor Carbonatite Complex,Magmatic and hydrothermal processes,ΣREE: 1.7-2.2%; LREE-enriched; middle and heavy REE enrichment,Large carbonatite complex with monazite-bastnäsite enrichment,Rare
Wigu Hill,Tanzania,Cretaceous (65-120 Ma),Carbonatite,ASTER/Landsat mapped intrusive complex,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,Main: REE,"Bastnäsite, monazite, synchysite","Ba, Sr, F, Th",Multiple dikes and veins,High-grade zones >5% TREO,Carbonatite dikes,East African Rift,Wigu Hill Carbonatite,Hydrothermal alteration along dikes and fractures,ΣREE: 3-10%; LREE-enriched,High-grade bastnäsite-rich veins and breccias,Rare
Round Top,USA,Tertiary (36 Ma),Peralkaline rhyolite,ASTER/Landsat mapped intrusive dome,"Radiometric detected U, Th anomalies; magnetic data outlined intrusion",Peralkaline intrusion,"Main: REE, Y; By-product: U, Be, Li, F","Yttrofluorite, xenotime","Y, U, Th, Be, F, Li",Laccolith dome,"336,500 t REO at 0.06% TREO",Peralkaline rhyolite,Rio Grande Rift,Sierra Blanca intrusion,Magmatic-hydrothermal enrichment,ΣREE: 0.05-0.07%; HREE-enriched; Y-dominant,HREE-enriched rhyolite; low grade but favorable HREE distribution,Rare
Kipawa,Canada,Proterozoic (1.0-1.1 Ga),Peralkaline syenite,ASTER/Landsat mapped intrusive complex,Radiometric detected Th anomaly; magnetic data outlined intrusion,Peralkaline syenite,"Main: REE, Y, Zr; By-product: Nb, Ta","Eudialyte, mosandrite, britholite","Zr, Nb, Y, Hf, Ta",Layered intrusion,"44,300 t REO at 0.38% TREO",Peralkaline syenite,Grenville Province,Kipawa Alkaline Complex,Magmatic layering,ΣREE: 0.3-0.45%; HREE-enriched; Zr: 1.7%,HREE-enriched syenite; favorable HREE distribution,Rare
Dong Pao,Vietnam,Permian-Triassic (250-260 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Ba, Sr","Bastnäsite, parisite","Ba, Sr, F, Th",Multiple dikes and veins,>7 Mt at 5-6% REO,"Carbonatite, syenite",Intraplate,Song Da Rift,Hydrothermal alteration,ΣREE: 4-7%; LREE-enriched,High-grade bastnäsite mineralization,Rare
Mrima Hill,Kenya,Cretaceous (110-120 Ma),Carbonatite,ASTER/Landsat mapped circular structure,"Radiometric detected Th, U anomalies; magnetic data outlined intrusion",Carbonatite,"Main: REE, Nb; By-product: Th, U","Pyrochlore, bastnäsite, monazite","Nb, P, Ba, Sr, Th, U","Circular complex, weathered",High-grade zones >5% TREO,Weathered carbonatite,East African Rift,Mrima Hill Carbonatite,Supergene enrichment in weathered zone,ΣREE: 5-10%; LREE-enriched; Nb₂O₅: 0.5-1.0%,Deeply weathered carbonatite with supergene enrichment,Rare
Khibina,Russia,Paleozoic (370 Ma),Alkaline intrusion,ASTER/Landsat mapped intrusive complex,Gravity and magnetic data outlined complex internal structure,Peralkaline syenite,"Main: REE, P; By-product: Ti, Nb","Apatite, loparite, eudialyte","P, Ti, Nb, Sr, Th",Layered intrusion,Large apatite resources,Nepheline syenite,Kola Alkaline Province,Khibina Massif,Magmatic layering,ΣREE: 0.3-0.5%; P₂O₅: 10-20%; Nb₂O₅: 0.1-0.2%,Massive layered alkaline complex; world's largest apatite deposit,Rare
Yangibana,Australia,Proterozoic (1.4 Ga),Carbonatite,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped dikes,Carbonatite dikes,Main: REE; By-product: Th,"Monazite, synchysite, xenotime","Th, P, F, Ba, Sr",Multiple linear dikes,"192,000 t REO at 1.12% TREO",Carbonatite dikes in granites,Gascoyne Province,Gifford Creek Complex,Hydrothermal alteration along dikes,ΣREE: 0.8-1.5%; LREE-enriched; high Nd and Pr,Ironstone-hosted REE with high Nd-Pr content,Rare
Palabora,South Africa,Proterozoic (2.06 Ga),Carbonatite,ASTER/Landsat mapped circular structure,Gravity surveys detected dense intrusion; magnetic data defined circular structure,Carbonatite,"By-product: REE; Main: Cu, P","Monazite, baddeleyite, bastnäsite","P, Cu, Fe, Ti, Zr, U",Vertical pipe,By-product from copper mining,"Carbonatite, phoscorite",Kaapvaal Craton,Palabora Complex,Magmatic processes,ΣREE: 0.25-0.5%; LREE-enriched,Multi-commodity carbonatite; REE recovered from apatite,Rare
Ilimaussaq,Greenland,Paleoproterozoic (1.16 Ga),Peralkaline intrusion,ASTER/Landsat mapped intrusive complex,"Radiometric detected U, Th anomalies; magnetic data outlined complex",Peralkaline intrusion,"Main: REE, Zr; By-product: U, Th, Nb","Steenstrupine, eudialyte","U, Th, Zr, Nb, Ta",Layered intrusion,Large resource,Agpaitic nepheline syenite,Continental rift,Gardar Province,Magmatic layering,ΣREE: 0.4-1.2%; HREE-enriched; U: 200-300 ppm,Complex layered alkaline intrusion; agpaitic mineralogy,Rare
Pajarito Mountain,USA,Proterozoic (1.4-1.5 Ga),Peralkaline granite,ASTER/Landsat mapped intrusive body,Radiometric detected Th anomaly; magnetic data outlined intrusion,Peralkaline granite,"Main: REE, Y; By-product: Zr, Nb","Gadolinite, fergusonite, xenotime","Y, Th, U, Zr, Nb",Lens-shaped intrusion,Small resource,Peralkaline granite,Anorogenic intrusion,Pecos Complex,Magmatic-hydrothermal processes,ΣREE: 0.3-0.6%; HREE-enriched; Y-dominant,HREE-enriched peralkaline granite; historic mining area,Rare
Araxa,Brazil,Cretaceous (80-90 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Gravity and magnetic surveys outlined complex,Carbonatite,"By-product: REE; Main: Nb, P","Monazite, pyrochlore, apatite","Nb, P, Ba, Sr, Th",Circular complex,By-product from Nb mining,"Carbonatite, phoscorite",Alto Paranaíba Province,Barreiro Complex,Magmatic and weathering processes,ΣREE: 1.5-2.5%; LREE-enriched; Nb₂O₅: 2.5%,World-class Nb deposit; REE recovered from tailings,Rare
Hastings,Australia,Proterozoic (1.8 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped structures,Hydrothermal,"Main: REE, Y; By-product: Zr","Xenotime, bastnäsite, allanite","Y, Zr, Nb, Th","Breccia, veins","36,200 t REO at 0.21% TREO",Brockman Volcanic rocks,Halls Creek Orogen,Brockman Volcanics,Hydrothermal alteration,ΣREE: 0.15-0.3%; HREE-enriched; Y-dominant; Zr: 0.9%,HREE-enriched fluorite-rich breccia zone,Rare
Tomtor,Russia,Proterozoic (700 Ma),Carbonatite,ASTER/Landsat mapped circular structure,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE, Nb; By-product: Sc","Monazite, pyrochlore, apatite","Nb, P, Sc, Ba, Sr, Th","Circular complex, weathered",>100 Mt at 8-12% REO,Weathered carbonatite,Anabar Shield,Tomtor massif,Supergene enrichment in weathered zone,ΣREE: 8-12%; LREE-enriched; Nb₂O₅: 4-7%; Sc: 0.05%,Exceptionally high-grade weathered carbonatite,Rare
Khaldzan-Buregtey,Mongolia,Jurassic-Cretaceous (210 Ma),Peralkaline granite,ASTER/Landsat mapped intrusive complex,Radiometric detected Th anomaly; magnetic data outlined intrusion,Peralkaline granite,"Main: REE, Zr; By-product: Nb, Ta","Zircon, fergusonite, columbite","Zr, Nb, Ta, F, Y, Th",Intrusive complex,Modest resource,Peralkaline granite,Alkaline Province,Khaldzan intrusion,Magmatic and hydrothermal processes,ΣREE: 0.3-0.7%; HREE-enriched; Zr: 1.5%,HREE-enriched peralkaline granite; Zr-Nb enrichment,Rare
Music Valley,USA,Proterozoic (1.8 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped structures,Hydrothermal,"Main: REE, Th","Monazite, xenotime, allanite","Th, P, Y, F","Vein systems, breccias",Small resource,"Gneiss, migmatite",Lake Mead-Death Valley Shear,Precambrian basement,Structurally controlled veins,ΣREE: 1-3%; LREE-enriched; Th: 0.1-0.3%,Monazite-apatite veins in metamorphic complex,Rare
Steenkampskraal,South Africa,Proterozoic (1.03 Ga),Hydrothermal,ASTER/Landsat mapped alteration zones,Radiometric detected Th anomaly; magnetic data mapped structures,Hydrothermal,"Main: REE, Th; By-product: Cu, P","Monazite, apatite, thorite","Th, P, Cu, F","Vein/dike, 400 m length","605,000 t at 14.4% TREO",Granulite facies gneiss,Namaqua-Natal Belt,Namaqualand Metamorphic Complex,Structurally controlled veins,ΣREE: 10-20%; LREE-enriched; Th: 2.0-3.0%,Ultra-high-grade monazite deposit; historic Th producer,Rare
Maoniuping,China,Himalayan (10-25 Ma),Carbonatite,ASTER/Landsat mapped alteration halo,Radiometric detected Th anomaly; magnetic data outlined intrusion,Carbonatite,"Main: REE; By-product: Pb, Zn, Ba","Bastnäsite, monazite, barite","Ba, Sr, F, Th, Pb, Zn","Multiple dikes, veins",>2 Mt REO,Carbonatite dikes,Himalayan collision,Mianning-Dechang REE belt,Hydrothermal alteration along dikes,ΣREE: 3-6%; LREE-enriched,Bastnäsite-rich carbonatite dikes and veins,Rare
Mary Kathleen,Australia,Proterozoic (1.74 Ga),Metasomatic,ASTER/Landsat mapped alteration zones,Radiometric detected U anomaly; magnetic data mapped structures,Skarn,By-product: REE; Main: U,"Allanite, apatite, titanite","U, Ca, Ti, P, F","Lens-shaped, skarn body",Historic U mine,Calc-silicate rocks,Mount Isa Inlier,Mary Kathleen Group,Contact metasomatism,ΣREE: 0.5-1.0%; LREE-enriched; U: 0.1-0.2%,REE-bearing U skarn deposit; historic uranium mine,Rare
Bokan Dotson Ridge,USA,Jurassic (151 Ma),Peralkaline granite,ASTER/Landsat mapped intrusive complex,"Radiometric detected U, Th anomalies; magnetic data outlined intrusion",Peralkaline granite,"Main: REE, Y; By-product: Zr, Nb","Gadolinite, fergusonite, xenotime","Y, U, Th, Zr, Nb, Be",Multiple dikes and veins,"126,000 t REO at 0.4% TREO",Peralkaline granite,Cordilleran margin,Prince of Wales Complex,Hydrothermal alteration of granite,ΣREE: 0.35-0.65%; HREE-enriched; Y-dominant,HREE-enriched dike swarm; extension of Bokan Mountain deposit,Rare
