Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Magpie Mountain,Canada,Proterozoic (1.0 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; By-product: Fe,"Ilmenite, hematite","Fe, V, Cr","Massive, irregular","125 Mt at 15% TiO₂, 40% Fe",Anorthosite,Grenville Province,Magpie-Romaine Complex,Magmatic processes; ilmenite segregation,TiO₂: 14-16%; Fe: 38-42%; V₂O₅: 0.1-0.2%,Large titanium resource; development stage,Titanium
Barrytown,New Zealand,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,Main: Ti; By-product: Au,"Ilmenite, gold","Au, Fe","Sheet-like, coastal deposits",50 Mt at 10% ilmenite,Beach sand,West Coast,Quaternary sediments,Coastal processes; heavy mineral concentration,TiO₂: 45-55% in ilmenite; Au: trace,Beach sand deposit; historic gold mining area,Titanium
Athabasca Oil Sands,Canada,Cretaceous (100-120 Ma),Sedimentary,ASTER/Landsat mapped oil sand outcrops,Seismic surveys mapped oil sand deposits,Oil sands by-product,By-product: Ti; Main: Bitumen,"Leucoxene, rutile, ilmenite, zircon","Zr, REE, Hf","Sheet-like, basin-wide",By-product resource,Oil sand,Western Canada Sedimentary Basin,McMurray Formation,Fluvial-deltaic processes; heavy mineral concentration,TiO₂: 80-95% in leucoxene; ZrO₂: 65-67% in zircon,Heavy minerals recovered from oil sands tailings,Titanium
Titania,Norway,Proterozoic (930 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; By-product: Fe,"Ilmenite, magnetite","Fe, V, Cr","Massive, dyke-like",40 Mt at 18% TiO₂,"Anorthosite, norite",Rogaland Anorthosite Province,Tellnes-Storgangen complex,Magmatic processes; ilmenite segregation,TiO₂: 18-20%; Fe: 35-38%; V₂O₅: 0.2-0.3%,Part of same complex as Tellnes; active mining,Titanium
Eneabba,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped ancient shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Ilmenite, rutile, leucoxene, zircon","Zr, Th, REE, Hf","Sheet-like, strand-line deposits",Historic producer; ~30 Mt heavy minerals,Shoreline sand deposits,Perth Basin,Quaternary sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 55-65% in ilmenite; ZrO₂: 65-67% in zircon",Major heavy mineral province; historic producer,Titanium
Jaramataia,Brazil,Cretaceous (80-100 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Ti, Fe, V","Titanomagnetite, ilmenite","Fe, V, Cr","Stratiform, lens-shaped",8 Mt TiO₂ in titanomagnetite,"Gabbro, pyroxenite",Brazilian Shield,Jaramataia Complex,Magmatic differentiation; crystal settling,TiO₂: 15-20%; V₂O₅: 0.5-0.7%; Fe: 30-35%,Ti-Fe-V deposit; development stage,Titanium
Longnose,USA,Proterozoic (1.1 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Layered intrusion,Main: Ti; By-product: Fe,"Ilmenite, titanomagnetite","Fe, V, Cr","Stratiform, lens-shaped",100 Mt at 15% TiO₂,"Gabbro, peridotite",Midcontinent Rift,Duluth Complex,Magmatic differentiation; oxide segregation,TiO₂: 13-17%; Fe: 30-35%; V₂O₅: 0.2-0.3%,Ti-Fe deposit; development stage,Titanium
Taranaki,New Zealand,Miocene (5-23 Ma),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Fe",Titanomagnetite,"Fe, V","Sheet-like, coastal deposits",120 Mt titanomagnetite,Beach sand,West Coast,Quaternary sediments,Coastal processes; heavy mineral concentration,TiO₂: 7-9%; Fe: 55-60%; V₂O₅: 0.3-0.5%,Titanomagnetite-rich ironsand; operating mine,Titanium
Xinjie,China,Proterozoic (260 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Ti, V, Fe","Titanomagnetite, ilmenite","V, Fe, Cr","Stratiform, lens-shaped",10 Mt TiO₂ in titanomagnetite,"Gabbro, pyroxenite",Emeishan LIP,Xinjie layered intrusion,Magmatic differentiation; crystal settling,TiO₂: 12-15%; V₂O₅: 0.7-0.9%; Fe: 30-35%,Part of Emeishan LIP; magnetite-rich layers,Titanium
Sangaredi,Guinea,Tertiary (20-40 Ma),Lateritic,ASTER/Landsat mapped laterite plateaus,Radiometric surveys mapped laterite profile,Bauxite,By-product: Ti; Main: Al,"Anatase, rutile","Al, Fe, Ga",Blanket-like laterite deposits,By-product resource,Weathered basement,West African Shield,Laterite profile,Intense tropical weathering; leaching,TiO₂: 2-4%; Al₂O₃: 45-50%; Fe₂O₃: 15-25%,Ti recovered from bauxite processing,Titanium
Jacksonville,USA,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr","Ilmenite, rutile, leucoxene, zircon","Zr, REE, Hf","Sheet-like, strand-line deposits",Historic producer; ~5 Mt heavy minerals,Shoreline sand deposits,Atlantic Coastal Plain,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 50-60% in ilmenite; ZrO₂: 65-67% in zircon",Florida-Georgia heavy mineral province; multiple operations,Titanium
Athabasca Basin,Canada,Cretaceous (100-120 Ma),Fluvial placer,ASTER/Landsat mapped deposits,Ground magnetics mapped sand bodies,Placer,"By-product: Ti, Zr; Main: Bitumen","Ilmenite, rutile, leucoxene, zircon","Zr, REE, Hf",Sheet-like deposits,Potential by-product,Oil sands,Western Canada Sedimentary Basin,McMurray Formation,Fluvial processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 50-60% in ilmenite; ZrO₂: 65-67% in zircon",Potential recovery from oil sands processing,Titanium
Iron Bridge,Australia,Archean (3.0 Ga),Metamorphic-hydrothermal,ASTER/Landsat mapped iron formation,Magnetic surveys mapped magnetite-rich zones,Magnetite,"Main: Fe; By-product: Ti, V","Titanomagnetite, magnetite","Fe, V","Stratiform, folded","5.8 Gt at 30% Fe, 0.9% TiO₂","BIF, ultramafic",Pilbara Craton,Soanesville Group,Metamorphosed iron formation,TiO₂: 0.8-1.0%; Fe: 28-32%; V₂O₅: 0.3-0.5%,Ti-rich BIF; development stage,Titanium
Sannan-tiao,China,Proterozoic (1.7 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Anorthosite complex,"Main: Ti, Fe, V","Titanomagnetite, ilmenite","Fe, V, Cr","Massive, irregular",30 Mt TiO₂ in titanomagnetite,"Anorthosite, gabbro",North China Craton,Sannan-tiao Complex,Magmatic processes; oxide segregation,TiO₂: 12-16%; V₂O₅: 0.5-0.7%; Fe: 30-35%,Ti-Fe-V deposit; active mining,Titanium
Powderhorn,USA,Proterozoic (1.05 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Alkaline complex,Main: Ti,"Perovskite, ilmenite, rutile","Nb, REE, Th","Irregular, plug-like",90 Mt at 11% TiO₂,"Alkaline complex, carbonatite",Colorado Mineral Belt,Powderhorn Complex,Magmatic differentiation; alkaline magmatism,TiO₂: 10-12%; Nb₂O₅: 0.1-0.2%; REE: 0.1-0.2%,Unusual Ti deposit in alkaline complex,Titanium
Maggie Hays,Australia,Archean (2.9 Ga),Magmatic,ASTER/Landsat mapped ultramafic sequence,Magnetic surveys detected magnetic anomalies,Layered intrusion,"By-product: Ti; Main: Ni, Cu","Titanomagnetite, pentlandite, chalcopyrite","Ni, Cu, Co, PGE","Lens-shaped, stratiform",By-product resource,Ultramafic intrusion,Yilgarn Craton,Lake Johnston greenstone belt,Magmatic processes; oxide segregation,TiO₂: 5-8%; Ni: 1.0-1.5%; Cu: 0.5-0.8%,Ti recovered from Ni-Cu mining,Titanium
Balla Balla,Australia,Archean (3.0 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected vanadiferous titanomagnetite,Layered intrusion,"Main: V, Ti, Fe",Vanadiferous titanomagnetite,"V, Fe, Ti","Stratiform, lens-shaped","456 Mt at 45% Fe, 13.7% TiO₂, 0.64% V₂O₅","Gabbro, anorthosite",Pilbara Craton,Sherlock intrusion,Magmatic differentiation; crystal settling,TiO₂: 13-15%; V₂O₅: 0.6-0.7%; Fe: 45-48%,V-Ti-Fe deposit; development stage,Titanium
Cerro Colorado,Chile,Paleocene-Eocene (45-65 Ma),Porphyry,ASTER/Landsat mapped alteration zones,Magnetic and IP surveys mapped porphyry,Porphyry Cu,"By-product: Ti; Main: Cu, Mo","Rutile, anatase","Cu, Mo, Re","Stockwork, disseminated",By-product resource,Porphyritic intrusion,Andean Belt,Paleocene-Eocene intrusives,Magmatic-hydrothermal; alteration,TiO₂: 0.5-1.0%; Cu: 0.5-0.7%; Mo: 0.01-0.02%,Ti minerals in advanced argillic alteration,Titanium
Sungun,Iran,Miocene (12 Ma),Porphyry,ASTER/Landsat mapped alteration zones,Magnetic and IP surveys mapped porphyry,Porphyry Cu,"By-product: Ti; Main: Cu, Mo","Rutile, anatase","Cu, Mo, Re","Stockwork, disseminated",By-product resource,Monzonite porphyry,Zagros Belt,Miocene intrusives,Magmatic-hydrothermal; alteration,TiO₂: 0.5-1.0%; Cu: 0.6-0.8%; Mo: 0.02-0.03%,Ti minerals in advanced argillic alteration,Titanium
Kerala,India,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Th; By-product: REE","Ilmenite, rutile, monazite","Th, REE, Zr","Sheet-like, coastal deposits",120 Mt at 10% heavy minerals,Beach sand,Southwest Indian margin,Quaternary sediments,Coastal processes; heavy mineral concentration,TiO₂: 50-60% in ilmenite; ThO₂: 8-10% in monazite,Major mineral sands province; monazite-rich,Titanium
Taihe,China,Proterozoic (1.8 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected ilmenite-rich zones,Anorthosite complex,Main: Ti; By-product: Fe,"Ilmenite, titaniferous magnetite","Fe, V, Cr","Massive, irregular",60 Mt TiO₂ in ilmenite,"Anorthosite, gabbro",North China Craton,Taihe Complex,Magmatic processes; oxide segregation,TiO₂: 20-25%; Fe: 25-30%; V₂O₅: 0.1-0.2%,Major Ti deposit; active mining,Titanium
Kola,Russia,Devonian (360-390 Ma),Magmatic,ASTER/Landsat mapped alkaline complex,Magnetic and radiometric surveys mapped complex,Alkaline complex,"By-product: Ti; Main: P, Nb, REE","Perovskite, loparite, apatite","Nb, REE, Th, P","Irregular, plug-like",By-product resource,"Alkaline complex, carbonatite",Kola Alkaline Province,Khibina-Lovozero Complex,Magmatic differentiation; alkaline magmatism,TiO₂: 3-6%; P₂O₅: 15-20%; Nb₂O₅: 0.5-1.0%,Ti from alkaline complex mining,Titanium
Fraser Island,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Rutile, ilmenite, zircon","Zr, REE, Th","Sheet-like, dune deposits",Historic producer; ~5 Mt heavy minerals,Dune sand,East Australian margin,Quaternary sediments,Aeolian processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 55-65% in ilmenite; ZrO₂: 65-67% in zircon",World heritage site; historic mining now ceased,Titanium
Augusta Bay,USA,Pliocene-Pleistocene (2-5 Ma),Placer,ASTER/Landsat mapped paleo-shorelines,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr","Ilmenite, rutile, leucoxene, zircon","Zr, REE, Hf","Sheet-like, strand-line deposits",Historic producer; ~2 Mt heavy minerals,Shoreline sand deposits,Atlantic Coastal Plain,Pliocene-Pleistocene sediments,Coastal processes; heavy mineral concentration,"TiO₂: 85-96% in rutile, 50-60% in ilmenite; ZrO₂: 65-67% in zircon",Georgia heavy mineral province; historic producer,Titanium
Port Gregory,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Ilmenite, leucoxene, zircon","Zr, REE, Th","Sheet-like, coastal deposits",2.2 Mt heavy minerals,Beach and dune sand,Western Australia margin,Quaternary sediments,Coastal processes; heavy mineral concentration,TiO₂: 55-65% in ilmenite; ZrO₂: 65-67% in zircon,Operating mineral sands mine,Titanium
Magadisberg,South Africa,Bushveld (2.05 Ga),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Ti, V, Fe","Titanomagnetite, ilmenite","V, Fe, Cr","Stratiform, laterally extensive","180 Mt at 13% TiO₂, 0.7% V₂O₅",Magnetite gabbro,Bushveld Complex,Upper Zone,Magmatic differentiation; crystal settling,TiO₂: 12-14%; V₂O₅: 0.6-0.8%; Fe: 35-40%,Magnetite layers in Upper Zone of Bushveld,Titanium
Coburn,Australia,Quaternary (Recent),Placer,ASTER/Landsat mapped coastal deposits,Ground magnetics mapped sand bodies,Placer,"Main: Ti, Zr; By-product: REE","Ilmenite, leucoxene, zircon","Zr, REE, Th","Sheet-like, strand-line deposits",6 Mt heavy minerals,Shoreline sand deposits,Perth Basin,Quaternary sediments,Coastal processes; heavy mineral concentration,TiO₂: 55-65% in ilmenite; ZrO₂: 65-67% in zircon,Development-stage mineral sands project,Titanium
Ivrea-Verbano,Italy,Permian (270-290 Ma),Magmatic,ASTER/Landsat mapped mafic intrusion,Magnetic surveys detected magnetite-rich zones,Layered intrusion,"Main: Fe, Ti; By-product: V","Ilmenite, titaniferous magnetite","Fe, V, Cr","Stratiform, lens-shaped",8 Mt TiO₂ in titanomagnetite,"Gabbro, peridotite",Southern Alps,Ivrea-Verbano Zone,Magmatic differentiation; crystal settling,TiO₂: 15-20%; V₂O₅: 0.3-0.5%; Fe: 30-35%,Mafic-ultramafic complex; historic Fe-Ti mining,Titanium
