Deposit Name,Location,Age of Deposit,Ore Genesis,Remote Sensing Data & Results,Geophysical Data,Type of Deposit,Main/By-Product/Co-Product,Mineralogy,Pathfinder Elements,Geometry of Ore Body,Ore Body Characterization,Host Rocks,Tectonic Settings,Stratigraphy,Control of Mineralization,Geochemical Results,Geological Features,Mineral
Antamina,Peru,Miocene (10-11 Ma),Porphyry-skarn,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive contact; IP mapped mineralization,Porphyry-skarn,"Main: Cu, Zn; By-product: Mo, Ag, Bi","Chalcopyrite, sphalerite, bornite, molybdenite","Zn, Mo, Ag, Bi",Irregular skarn body,"1.7 Gt at 0.9% Cu, 0.7% Zn","Quartz monzonite, limestone",Andean subduction zone,Miocene intrusives,Contact metasomatism; limestone replacement,Cu: 0.8-1.1%; Zn: 0.6-0.9%; Mo: 0.02-0.03%,World-class Cu-Zn skarn; complex zonation,Copper
Las Bambas,Peru,Eocene-Oligocene (35-40 Ma),Porphyry-skarn,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive contact; IP mapped mineralization,Porphyry-skarn,"Main: Cu; By-product: Mo, Au, Ag","Chalcopyrite, bornite, chalcocite, molybdenite","Mo, Au, Ag","Multiple centers, stockwork",1.2 Gt at 0.61% Cu,"Diorite, granodiorite, limestone",Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; skarn formation,Cu: 0.5-0.8%; Mo: 0.01-0.02%; Au: 0.05-0.1 g/t,Multiple porphyry-skarn centers; high-altitude deposit,Copper
Quebrada Blanca,Chile,Eocene (34-36 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, covellite, pyrite","Mo, Re","Cylindrical, stockwork",1.4 Gt at 0.54% Cu,Granodiorite porphyry,Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.4-0.7%; Mo: 0.01-0.02%,Well-developed oxide and supergene zones,Copper
Toquepala,Peru,Paleocene (57-59 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",2.3 Gt at 0.56% Cu,"Dacite porphyry, breccia",Andean subduction zone,Paleocene intrusives,Magmatic-hydrothermal; tourmaline breccias,Cu: 0.5-0.7%; Mo: 0.03-0.04%,Long-operating porphyry mine; well-developed zones,Copper
Kamoto,DRC,Neoproterozoic (880-600 Ma),Sediment-hosted,ASTER/Landsat mapped alteration zones,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted,"Main: Cu, Co","Chalcocite, bornite, carrollite","Co, Ni, Mn, Fe","Stratiform, tabular","262 Mt at 3.48% Cu, 0.36% Co",Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; basin margins,Cu: 3.0-4.0%; Co: 0.3-0.4%,High-grade Cu-Co; structural enhancement,Copper
Mutanda,DRC,Neoproterozoic (880-600 Ma),Sediment-hosted,ASTER/Landsat mapped oxide caps; multispectral detected alteration,IP surveys mapped sulfide zones; magnetic data located structures,Sediment-hosted,"Main: Cu, Co","Malachite, heterogenite, chalcocite","Co, Ni, Mn, Fe","Stratiform, tabular","299 Mt at 1.38% Cu, 0.48% Co",Roan Group dolomites and shales,Lufilian Arc,"Mines Subgroup, Roan Group",Redox boundaries; structural control,Cu: 1.2-1.6%; Co: 0.4-0.6%,Oxide and mixed oxide-sulfide ores,Copper
Spence,Chile,Paleocene (57-61 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, covellite, pyrite","Mo, Re","Cylindrical, stockwork",713 Mt at 0.62% Cu,Granodiorite porphyry,Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.5-0.8%; Mo: 0.01-0.02%,Well-developed supergene blanket; exotic copper,Copper
Cerro Verde,Peru,Paleocene (61-63 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",4.1 Gt at 0.37% Cu,Granodiorite porphyry,Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.3-0.5%; Mo: 0.01-0.02%,Large low-grade porphyry; oxide cap,Copper
Andina-Los Bronces,Chile,Miocene-Pliocene (4.5-8.2 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, bornite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",5.1 Gt at 0.7% Cu,Diorite to granodiorite,Andean subduction zone,Miocene intrusives,Magmatic-hydrothermal; tourmaline breccias,Cu: 0.6-0.9%; Mo: 0.01-0.02%,High-altitude porphyry; part of Rio Blanco-Los Bronces cluster,Copper
Palabora,South Africa,Proterozoic (2.06 Ga),Carbonatite,ASTER/Landsat mapped circular structure,Gravity surveys detected dense intrusion; magnetic data defined circular structure,Carbonatite,"Main: Cu; By-product: Ni, Au, Ag, PGE, U, vermiculite","Chalcopyrite, bornite, valleriite","Ni, PGE, Au, Ag, REE",Vertical pipe,960 Mt at 0.69% Cu,"Carbonatite, phoscorite",Kaapvaal Craton,Palabora Complex,Magmatic processes,Cu: 0.5-0.8%; Ni: 0.1-0.2%; Au: 0.1 g/t,Unusual copper-rich carbonatite; multi-commodity deposit,Copper
El Salvador,Chile,Eocene (41-43 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",1.8 Gt at 0.64% Cu,"Quartz diorite, granodiorite",Andean subduction zone,Tertiary intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.5-0.8%; Mo: 0.02-0.03%,Classic Andean porphyry; distinct zonation,Copper
Candelaria,Chile,Cretaceous (110-115 Ma),IOCG,ASTER/Landsat mapped alteration zones,Gravity surveys detected dense body; magnetic anomaly,IOCG,"Main: Cu; By-product: Au, Ag","Chalcopyrite, magnetite, pyrite","Au, Ag, Fe","Stratabound, tabular",470 Mt at 0.95% Cu,"Andesitic volcanic rocks, diorite",Coastal Cordillera,Lower Cretaceous volcanics,Structural control; hydrothermal replacement,Cu: 0.8-1.2%; Au: 0.15-0.25 g/t; Ag: 3-5 g/t,IOCG deposit in Atacama Fault Zone,Copper
Phalaborwa,South Africa,Proterozoic (2.06 Ga),Carbonatite,ASTER/Landsat mapped circular structure,Gravity surveys detected dense intrusion; magnetic data defined circular structure,Carbonatite,"Main: Cu; By-product: P, Fe, Zr, U, vermiculite","Chalcopyrite, bornite, valleriite","REE, P, Fe, Zr, U",Vertical pipe,Same as Palabora,"Carbonatite, phoscorite",Kaapvaal Craton,Palabora Complex,Magmatic processes,Cu: 0.5-0.8%; P₂O₅: 7%; magnetite: 20-30%,Alternative name for Palabora deposit,Copper
Pebble,USA,Cretaceous (90-100 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu, Au, Mo; By-product: Ag, Re","Chalcopyrite, bornite, molybdenite, gold","Au, Mo, Ag, Re","Cylindrical, stockwork","10.9 Gt at 0.34% Cu, 0.023% Mo, 0.3 g/t Au","Granodiorite, diorite porphyry",Alaska-Aleutian arc,Cretaceous intrusives,Magmatic-hydrothermal; multiple intrusions,Cu: 0.3-0.5%; Au: 0.25-0.4 g/t; Mo: 0.02-0.03%,Undeveloped giant porphyry; polymetallic system,Copper
Ok Tedi,Papua New Guinea,Miocene (1.2-1.8 Ma),Porphyry-skarn,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive contact; IP mapped mineralization,Porphyry-skarn,"Main: Cu, Au; By-product: Ag","Chalcopyrite, chalcocite, bornite, gold","Au, Ag","Cylindrical, stockwork","493 Mt at 0.69% Cu, 0.84 g/t Au","Monzonite porphyry, limestone",Island arc,Miocene intrusives,Magmatic-hydrothermal; limestone interaction,Cu: 0.6-0.8%; Au: 0.7-1.0 g/t,Porphyry-skarn system in mountainous terrain,Copper
Aitik,Sweden,Paleoproterozoic (1.9 Ga),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu; By-product: Au, Ag, Mo","Chalcopyrite, pyrite, molybdenite","Au, Ag, Mo","Elongated, shear-controlled",2.1 Gt at 0.22% Cu,"Porphyritic intrusion, volcanic rocks",Svecokarelian orogen,Paleoproterozoic intrusives,Magmatic-hydrothermal; deformed porphyry,Cu: 0.2-0.3%; Au: 0.1-0.15 g/t; Ag: 2-3 g/t,"Low-grade, high-tonnage; ancient deformed porphyry",Copper
Boddington,Australia,Archean (2.7 Ga),Porphyry-related,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry-related,"Main: Au, Cu; By-product: Ag","Chalcopyrite, pyrite, gold","Au, Ag","Stockwork, disseminated","1.3 Gt at 0.12% Cu, 0.9 g/t Au","Diorite, andesite",Archean craton,Saddleback greenstone belt,Magmatic-hydrothermal; greenstone belt,Cu: 0.1-0.15%; Au: 0.8-1.1 g/t,Archean gold-copper system; atypical porphyry,Copper
Highland Valley,Canada,Late Triassic (210 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu, Mo; By-product: Ag","Chalcopyrite, bornite, molybdenite","Mo, Re, Ag","Multiple centers, stockwork","1.4 Gt at 0.29% Cu, 0.008% Mo","Quartz monzonite, granodiorite",Quesnel terrane,Guichon Creek batholith,Magmatic-hydrothermal; multiple centers,Cu: 0.25-0.35%; Mo: 0.007-0.01%,Classic calc-alkaline porphyry; multiple deposits,Copper
Carrapateena,Australia,Mesoproterozoic (1.59 Ga),IOCG,ASTER/Landsat mapped surface alteration,Gravity surveys detected dense body; magnetic anomaly,IOCG,"Main: Cu, Au; By-product: Ag, U","Chalcopyrite, bornite, chalcocite","Au, Ag, U, REE",Breccia complex,"800 Mt at 0.8% Cu, 0.3 g/t Au",Hematite-granite breccia,Gawler Craton,Hiltaba Suite,Magmatic-hydrothermal brecciation,Cu: 0.7-1.0%; Au: 0.25-0.35 g/t; U: 100-200 ppm,Deep IOCG deposit; Olympic Dam province,Copper
Prominent Hill,Australia,Mesoproterozoic (1.59 Ga),IOCG,ASTER/Landsat mapped surface alteration,Gravity surveys detected dense body; magnetic anomaly,IOCG,"Main: Cu, Au; By-product: Ag","Chalcopyrite, bornite, chalcocite","Au, Ag, REE",Breccia complex,"178 Mt at 1.1% Cu, 0.7 g/t Au",Hematite breccia,Gawler Craton,Mount Woods Inlier,Magmatic-hydrothermal brecciation,Cu: 0.9-1.3%; Au: 0.5-0.9 g/t,IOCG deposit; Olympic Dam province,Copper
Los Pelambres,Chile,Miocene (10 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu; By-product: Mo, Au","Chalcopyrite, bornite, pyrite, molybdenite","Mo, Au","Cylindrical, stockwork",5.2 Gt at 0.62% Cu,"Granodiorite, quartz monzonite",Andean subduction zone,Miocene intrusives,Magmatic-hydrothermal; potassic core,Cu: 0.5-0.7%; Mo: 0.01-0.02%,High-altitude porphyry; low pyrite content,Copper
Quellaveco,Peru,Paleocene (53-55 Ma),Porphyry,ASTER/Landsat mapped alteration halo; multispectral identified mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,Main: Cu; By-product: Mo,"Chalcopyrite, chalcocite, pyrite, molybdenite","Mo, Re","Cylindrical, stockwork",1.3 Gt at 0.57% Cu,Monzonite porphyry,Andean subduction zone,Paleocene intrusives,Magmatic-hydrothermal; supergene enrichment,Cu: 0.5-0.7%; Mo: 0.02-0.03%,Classic Andean porphyry; supergene enrichment,Copper
Resolution,USA,Paleocene (61-65 Ma),Porphyry,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive system; IP mapped sulfide zones,Porphyry Cu,"Main: Cu, Mo; By-product: Ag","Chalcopyrite, bornite, molybdenite","Mo, Ag, Re","Cylindrical, stockwork",1.8 Gt at 1.5% Cu,Quartz monzonite porphyry,Laramide orogeny,Tertiary intrusives,Magmatic-hydrothermal; tilted porphyry,Cu: 1.3-1.7%; Mo: 0.03-0.04%,"Deep, high-grade porphyry; formerly Magma mine",Copper
Rosemont,USA,Paleocene (56-59 Ma),Porphyry-skarn,ASTER/Landsat mapped alteration zones; multispectral detected mineral zones,Magnetic surveys outlined intrusive contact; IP mapped mineralization,Porphyry-skarn,"Main: Cu; By-product: Mo, Ag","Chalcopyrite, molybdenite, sphalerite","Mo, Ag, Zn","Irregular, contact-related",592 Mt at 0.45% Cu,"Quartz monzonite porphyry, limestone",Laramide orogeny,Paleocene intrusives,Contact metasomatism; skarn formation,Cu: 0.4-0.5%; Mo: 0.01-0.02%; Ag: 4-5 g/t,Porphyry-skarn deposit; undeveloped,Copper
Kennecott,USA,Triassic (215 Ma),Sediment-hosted,ASTER/Landsat mapped copper-stained outcrops,Electromagnetic surveys mapped conductors; magnetic data detected structures,Sediment-hosted,Main: Cu; By-product: Ag,"Native copper, chalcocite, bornite",Ag,"Stratabound, irregular",Historical producer,"Basalt, limestone",Wrangellia terrane,Nikolai Greenstone,Redox boundaries; structural control,Cu: 13% (historic); Ag: 65 g/t,Ultra-high-grade sediment-hosted copper deposit,Copper
